구,동,구분,단지명,세대수,사용검사일,도로명주소,Latitude,Longitude
수지구,신봉동,분양,신봉마을 자이3차,401,2007.03.30,"수지구 신봉1로71번길 25 (신봉동, 신봉마을자이3차아파트)",37.3209,127.078717
수지구,죽전동,분양,내대지마을 죽전이편한세상아파트,141,2003.08.28,"수지구 대지로 148 (죽전동, 대림e편한세상)",37.328872,127.1259063
수지구,죽전동,분양,대지마을 현대홈타운 3차 2단지,537,2003.04.04,"수지구 대지로15번길 60 (죽전동, 대지마을현대홈타운3차2단지아파트) ",37.332982,127.11438
수지구,죽전동,분양,도담마을  현대홈타운 4차 1단지,351,2003.04.02,"수지구 푸른솔로 55 (죽전동, 도담마을힐스테이트4차1단지아파트)",37.3262229,127.1187941
수지구,죽전동,분양,도담마을 롯데캐슬,231,2002.03.29,"수지구 대지로 64 (죽전동, 도담마을롯데캐슬아파트)",37.3285386,127.1165183
수지구,신봉동,분양,신봉마을 동부센트레빌1단지,298,2010.05.03,"수지구 신봉1로172번길 8 (신봉동, 신봉마을센트레빌1차)",37.326427,127.0754946
수지구,신봉동,분양,신봉마을 동일하이빌2단지,232,2010.06.22,"수지구 신봉3로11번길 10-7 (신봉동, 신봉마을 동일하이빌2차)",37.2933368,127.1275089
수지구,신봉동,분양,신봉마을 동일하이빌3단지,594,2010.09.17(2010.07.30),"수지구 신봉3로 25 (신봉동, 신봉마을동일하이빌3차)",37.3263184,127.0640869
수지구,죽전동,분양,대지마을 중앙하이츠빌,271,2001.11.10,"수지구 현암로63번길 2 (죽전동, 대지마을중앙하이츠빌아파트)",37.3323437,127.1171292
수지구,신봉동,분양,신봉마을 동일하이빌 4단지,636,2010.10.04,"수지구 신봉3로12번길 9 (신봉동, 동일하이빌4차아파트)",37.330039,127.0647753
수지구,죽전동,분양,도담마을 죽전파크빌,561,1997.06.14,수지구 정든로 22 (죽전동),37.3277268,127.1161188
수지구,성복동,분양,성동마을 수지자이2차,500,2010.09.27,"수지구 성복2로 184 (성복동, 성동마을수지자이2차아파트)",37.3202011,127.0671162
수지구,성복동,분양,버들치마을 성복 힐스테이트 3차,823,2010.06.06,"수지구 성복2로 220 (성복동, 버들치마을 힐스테이트3차)",37.3210477,127.0635893
수지구,동천동 ,분양,보뜨랑마을 벽산블루밍아파트,182,2004.11.12.(2004.06.30.),"수지구 신수로783번길 50 (동천동, 벽산아파트)",37.3421561,127.0986033
수지구,동천동 ,분양,동천마을동문굿모닝힐6차,220,2009.09.15(2007.10.31),"수지구 동천로 53 (동천동, 동문굿모닝힐6차아파트)",37.3399813,127.0973532
수지구,동천동 ,분양,동천마을동문굿모닝힐5차,1334,2009.09.11(2007.10.31),"수지구 동천로 64 (동천동, 동천마을동문굿모닝힐5차아파트)",37.340029,127.0958119
수지구,동천동 ,분양,한빛마을 래미안이스트팰리스 4단지,620,2010.05.31,"수지구 동천로153번길 6 (동천동, 한빛마을래미안이스트팰리스4단지아파트)",37.3356957,127.0856646
수지구,동천동 ,분양,한빛마을 래미안이스트팰리스 3단지,885,2010.05.31,"수지구 동천로135번길 21 (동천동, 한빛마을래미안이스트팰리스3단지)",37.3342823,127.0889258
수지구,동천동 ,분양,한빛마을 래미안이스트팰리스 1단지,460,2010.05.31,"수지구 동천로153번길 7 (동천동, 한빛마을래미안이스트팰리스1단지아파트)",37.3364831,127.0879111
수지구,동천동 ,분양,한빛마을 래미안이스트팰리스 2단지,428,2010.05.31,"수지구 동천로113번길 10 (동천동, 한빛마을래미안이스트팰리스2단지아파트)",37.3450834,127.0836614
수지구,상현동,분양,심곡마을 광교힐스테이트,860,2009.10.29,"수지구 수지로 75 (상현동, 심곡마을광교힐스테이트아파트)",37.3093735,127.0764394
수지구,상현동,분양,광교마을 웅진스타클래스 1단지,168,2011.12.28,"수지구 법조로 251 (상현동, 광교마을웅진스타클래스1단지)",37.2993199,127.0735488
수지구,상현동,분양,광교마을 웅진스타클래스 2단지,220,2011.12.28,"수지구 법조로 252 (상현동, 광교웅진스타클래스2단지)",37.2993199,127.0735488
수지구,상현동,분양,광교경남아너스빌,700,2011.11.30,"수지구 광교마을로 2 (상현동, 광교경남아너스빌)",37.2977333,127.0671559
수지구,상현동,분양,광교마을 상록자이 아파트,1035,2012.07.27,"수지구 광교마을로 62 (상현동, 광교상록자이아파트)",37.2967632999999,127.0719267
수지구,상현동,분양,심곡마을 현대프레미오아파트,300,2001.02.12,"수지구 수지로 41 (상현동, 현대프레미오아파트)",37.307096,127.0736064
수지구,상현동,분양,상현마을 쌍용1차아파트(A단지),421,2001.12.05,"수지구 상현로 27 (상현동, 상현마을쌍용2차스윗닷홈A단지아파트)",37.3016523,127.0770784
수지구,상현동,분양,상현마을 현대성우2차아파트,198,2001.12.26,"수지구 상현로11번길 26 (상현동, 상현마을현대성우2차아파트)",37.3059018999999,127.0840776
수지구,상현동,분양,상현마을 금호베스트빌1단지,573,2001.03.31,"수지구 상현로 59 (상현동, 금호베스트빌1차아파트)",37.3070247,127.0780026
수지구,상현동,분양,상현마을 쌍용2차아파트(B단지),315,2001.12.05,"수지구 상현로 30-6 (상현동, 상현마을쌍용2차스윗닷홈B단지아파트)",37.3016523,127.0770784
수지구,상현동,분양,상현마을 쌍용3차아파트(C단지),251,2001.12.05,"수지구 상현로 30-9 (상현동, 상현마을쌍용2차스윗닷홈C단지아파트)",37.3016523,127.0770784
수지구,상현동,분양,상현마을 금호베스트빌2단지,407,2001.03.31,"수지구 상현로 58 (상현동, 금호베스트빌2차아파트)",37.3026797,127.0804661
수지구,상현동,분양,상현마을 금호베스트빌3단지,159,2002.02.27,"수지구 상현로42번길 40 (상현동, 금호베스트빌3차아파트)",37.303069,127.082328
수지구,상현동,분양,상현마을 동일스위트,312,2001.12.31,"수지구 상현로42번길 46 (상현동, 상현마을동일스위트아파트)",37.3033918,127.0761649
수지구,상현동,분양,상현마을 금호 베스트빌4단지,224,2002.02.27,"수지구 상현로 67-12 (상현동, 금호베스트빌4차아파트)",37.304557,127.07955
수지구,상현동,분양,상현마을 수지센트럴아이파크,895,2006.08.28,"수지구 상현로 101 (상현동, 상현마을수지센트럴아이파크)",37.3078417,127.0823685
수지구,상현동,분양,상현마을 성우5차아파트 ,310,2003.10.21(2003.05.30),"수지구 상현로 119-6 (상현동, 상현마을 현대성우5차아파트)",37.3042631,127.0809391
수지구,상현동,분양,상현마을 현대2차아파트,498,2001.12.21,"수지구 상현로 2 (상현동, 상현마을현대2차아이파크아파트)",37.3017107,127.0734575
수지구,상현동,분양,서원마을 현대홈타운아파트,462,2001.02.17,"수지구 포은대로 231 (상현동, 서원마을 현대홈타운아파트)",37.3087556,127.0821384
수지구,상현동,분양,서원마을 3단지 아이파크,438,2002.09.06,"수지구 포은대로 219  (상현동, 서원마을3단지아이파크아파트)",37.3082901,127.080573
수지구,상현동,분양,상현마을 성원상떼빌아파트,968,2002.12.16,"수지구 상현로 30-10 (상현동, 상현마을성원상떼빌아파트)",37.300415,127.0781101
수지구,상현동,분양,서원마을 금호베스트빌 5단지,890,2002.12.04,"수지구 심곡로 16 (상현동, 서원마을금호베스트빌5단지아파트)",37.3070247,127.0780026
수지구,상현동,분양,풍산아파트,438,1997.11.17,"수지구 수지로78번길 20 (상현동, 풍산아파트)",37.3131822,127.0900494
수지구,동천동 ,분양,동천마을 영풍아파트,149,2003.07.14,"수지구 신수로783번길 22 (동천동, 영풍아파트)",37.3405706,127.1005409
수지구,동천동 ,분양,원천마을 푸르지오아파트,190,2003.04.29,"수지구 고기로 3 (동천동, 대우아파트)",37.347886,127.0821872
수지구,동천동 ,분양,수진마을 신명스카이뷰,262,2004.01.17,"수지구 손곡로 53 (동천동, 수진마을신명스카이뷰아파트)",37.3355651,127.0970478
수지구,성복동,분양,버들치마을 성복 힐스테이트 2차,689,2010.06.06,"수지구 성복1로164번길 13 (성복동, 현대힐스테이트2차)",37.3184372,127.0635799
수지구,성복동,분양,버들치마을 성복자이1차,719,2010.06.03,"수지구 성복1로164번길 20 (성복동, 버들치마을성복자이1차아파트)",37.3174001,127.0654125
수지구,성복동,분양,버들치마을 경남아너스빌 2차,214,2010.03.31,"수지구 성복1로163번길 11 (성복동, 버들치마을경남아너스빌2차아파트)",37.3153659,127.0604471
수지구,성복동,분양,버들치마을 경남아너스빌 1차,816,2007.06.14,"수지구 성복1로 157 (성복동, 버들치마을경남아너스빌1차아파트)",37.3147034,127.0623638
수지구,성복동,분양,성동마을 수지자이아파트,680,2006.05.30,"수지구 성복2로 174 (성복동, 성동마을수지자이아파트)",37.3154561,127.0766614
수지구,성복동,분양,푸른마을 푸르지오아파트,430,2004.10.22,"수지구 성복2로76번길 31 (성복동, 푸른마을 푸르지오아파트)",37.316292,127.0794088
수지구,성복동,분양,성동마을 LG빌리지 6차,956,2003.03.26,"수지구 성복2로 158 (성복동, 성동마을엘지빌리지6차아파트)",37.3154561,127.0766614
수지구,성복동,분양,성동마을 LG빌리지3차,1234,2002.08.28,"수지구 성복2로 126 (성복동, 성동마을LG빌리지3차아파트)",37.3178724,127.0725784
수지구,성복동,분양,성남마을 벽산첼시빌2,951,2002.10.31,"수지구 성복1로 107 (성복동, 성남마을벽산첼시빌2차아파트)",37.3144979,127.0663465
수지구,성복동,분양,수지제일아이조움,133,2012.07.19,수지구 심곡로 87 (성복동),37.3105835,127.0816583
수지구,성복동,분양,성동마을 LG빌리지1차,1164,2001.02.19,"수지구 성복2로 86 (성복동, 성동마을LG빌리지1차아파트)",37.3173448,127.0765503
수지구,상현동,분양,만현마을 9단지 엘지자이아파트,1034,2003.06.27,"수지구 만현로133번길 33 (상현동, 만현마을9단지엘지자이아파트)",37.3041327,127.0897096
수지구,상현동,분양,만현마을 3단지 성원상떼빌,554,2002.08.30,"수지구 만현로67번길 19 (상현동, 만현마을성원상떼빌아파트)",37.3130743,127.0923654
수지구,상현동,분양,만현마을 8단지 두산위브,556,2002.08.26,"수지구 만현로 127 (상현동, 만현마을8단지두산위브아파트)",37.3052123,127.0869069
수지구,상현동,분양,만현마을 1단지 롯데캐슬아파트,992,2002.09.18,"수지구 만현로 25 (상현동, 만현마을롯데캐슬아파트)",37.3119901,127.0896557
수지구,상현동,분양,만현마을 5단지아이파크,528,2002.04.30,"수지구 만현로 79 (상현동, 만현마을5단지아이파크아파트)",37.3085127,127.0871606
수지구,상현동,분양,만현마을 10단지 아이파크,584,2002.07.18,"수지구 상현로 142 (상현동, 만현마을10단지아이파크아파트)",37.3111606,127.0854248
수지구,상현동,분양,만현마을 2단지아이파크,404,2002.04.30,수지구 만현로67번길 9  (상현동),37.3092782,127.0881144
수지구,상현동,분양,상현마을 현대성우3차아파트,336,2002.04.25,"수지구 상현로 88 (상현동, 상현마을 현대성우3차아파트)",37.3038466,127.0833278
수지구,상현동,분양,만현마을 쌍용3차,375,2001.09.28,"수지구 만현로 99 (상현동, 만현마을쌍용스윗닷홈3차아파트)",37.3070457,127.0856692
수지구,상현동,분양,상현마을 현대성우1차,470,2001.09.15,"수지구 상현로 100 (상현동, 상현마을현대성우1차아파트)",37.3046813,127.0846262
수지구,상현동,분양,만현마을 쌍용1차아파트,992,2001.06.19,"수지구 만현로 107 (상현동, 만현마을쌍용1차아파트)",37.3070457,127.0856692
수지구,상현동,분양,수지 성원아파트,1744,1997.12.20,"수지구 진산로 24 (상현동, 성원상떼빌아파트)",37.3140878,127.092754
수지구,상현동,분양,만현마을 동보2차아파트,702,1998.05.09,"수지구 포은대로 298 (상현동, 만현마을동보2차아파트)",37.3133352,127.0874438
수지구,동천동 ,분양,동천마을 동문3차아파트,181,2001.11.07.,"수지구 동천로 93 (동천동, 동문3차아파트)",37.3381314,127.0938288
수지구,동천동 ,분양,동천마을 현대1차홈타운,466,2002.04.29.,"수지구 수지로 487 (동천동, 동천마을현대홈타운아파트)",37.3383981,127.0960478
수지구,동천동 ,분양,동천마을 현대2차홈타운,1128,2002.04.17,"수지구 동천로63번길 10 (동천동, 동천마을현대2차홈타운)",37.3383981,127.0960478
수지구,동천동 ,분양,수진마을 써니밸리아파트,627,2004.01.26,"수지구 손곡로 82 (동천동, 수진마을써니밸리아파트)",37.3373418,127.0929647
수지구,동천동 ,분양,수진마을 2단지(효성.현산),344,2004.01.10,"수지구 손곡로 54 (동천동, 수진마을아이파크효성화운트빌아파트)",37.3361762,127.0957979
수지구,동천동 ,분양,수진마을 우미이노스빌,396,2004.01.20,"수지구 손곡로 67 (동천동, 수진마을우미이노스빌아파트)",37.3356484,127.0944925
수지구,죽전동,분양,인현마을 현대홈타운(101-105),162,2004.09.16,"수지구 탄천상로 7 (죽전동, 인현마을힐스테이트7차아파트)",37.3331212999999,127.1119353
수지구,죽전동,분양,인현마을 현대홈타운(201-206),194,2004.09.16,"수지구 탄천상로 6 (죽전동, 인현마을힐스테이트7차아파트)",37.3331212999999,127.1119353
수지구,죽전동,분양,현인마을 이-편한세상1단지,206,2006.02.21,"수지구 탄천상로 29 (죽전동, 현인마을이편한세상아파트)",37.3340934,127.1121852
수지구,죽전동,분양,성현마을 반도유보라,637,2004.06.30,"수지구 죽전로193번길 35 (죽전동, 성현마을반도유보라아파트)",37.3266759,127.1253051
수지구,죽전동,분양,도담마을 우미이노스빌 죽전1차,418,2004.10.05,"수지구 푸른솔로 88 (죽전동, 도담마을 우미이노스빌)",37.3267395,127.119297
수지구,죽전동,분양,도담마을 한양수자인,332,2004.12.01,"수지구 푸른솔로 76 (죽전동, 도담마을 한양수자인)",37.3250982,127.1188711
수지구,죽전동,분양,꽃메마을 현대홈타운 (4차2단지),254,2004.06.29,"수지구 푸른솔로 56 (죽전동, 꽃메마을힐스테이트4차2단지아파트)",37.3234836,127.1153241
수지구,죽전동,분양,도담마을 푸르지오아파트(601-602동),111,2004.12.23,"수지구 푸른솔로 41 (죽전동, 대우푸르지오)",37.3257100999999,127.1158746
수지구,죽전동,분양,꽃메마을 금강아파트,120,2004.09.03,"수지구 죽전로27번길 14-33 (죽전동, 금강아파트)",37.3227177,127.1149126
수지구,죽전동,분양,꽃메마을 한라신영프로방스,388,2004.06.30,"수지구 죽전로27번길 14-30 (죽전동, 꽃메마을한라프로방스아파트)",37.3217894,127.114352
수지구,죽전동,분양,꽃메마을 현대홈타운 (4차 4단지),342,2004.06.29,"수지구 푸른솔로 20 (죽전동, 꽃메마을현대홈타운4차4단지아파트)",37.3234836,127.1153241
수지구,죽전동,분양,꽃메마을 현대홈타운 (4차 3단지),770,2004.06.29,"수지구 죽전로 87 (죽전동, 꽃메마을현대홈타운4차3단지아파트)",37.3224819,127.1175743
수지구,죽전동,분양,꽃메마을 한라프로방스 Ⅱ,195,2004.06.30,"수지구 죽전로 111 (죽전동, 꽃메마을한라프로방스II아파트)",37.3217894,127.114352
수지구,죽전동,분양,꽃메마을 아이파크,374,2004.07.30,"수지구 죽전로 121 (죽전동, 꽃메마을아이파크2차아파트)",37.3238557,127.1207011
수지구,상현동,분양,벽산블루밍아파트,631,1998.08.31,"수지구 수지로 68 (상현동, 벽산블루밍아파트)",37.3086242,127.077525
수지구,죽전동,분양,꽃메마을 극동스타클래스,196,2004.06.30,"수지구 죽전로 116 (죽전동, 극동스타클래스아파트)",37.3225553,127.1211709
수지구,죽전동,분양,성현마을 우미이노스빌 (201-208동) 죽전2차,538,2004.12.20,"수지구 죽전로 143 (죽전동, 성현마을우미2차아파트)",37.3251502,127.123851
수지구,죽전동,분양,성현마을 광명샤인빌 (401-403동) 죽전1차,192,2005.02.03,"수지구 디지털벨리로 5 (죽전동, 성현마을광명샤인빌)",37.326706,127.124629
수지구,죽전동,분양,현인마을 이-편한세상2단지,239,2006.02.21,"수지구 탄천상로 30 (죽전동, 현인마을이편한세상아파트)",37.3340934,127.1121852
수지구,죽전동,분양,새터마을 죽전힐스테이트,1998,2004.06.29,"수지구 현암로125번길 11 (죽전동, 새터마을죽전힐스테이트아파트)",37.3336726,127.1220199
수지구,죽전동,분양,내대지마을 건영캐스빌,1254,2004.11.25,"수지구 죽전로 267 (죽전동, 내대지마을건영캐스빌아파트)",37.3332748,127.1263996
수지구,죽전동,분양,내대지마을 우미이노스빌(601동),59,2004.12.20,"수지구 현암로 134-1 (죽전동, 우미아노스빌6차)",37.3310384,127.1245175
수지구,죽전동,분양,새터마을 푸르지오아파트,79,2004.12.28,"수지구 현암로 126 (죽전동, 푸르지오)",37.3314304,127.1225469
수지구,죽전동,분양,새터마을 우미이노스빌(101동) 죽전3차,56,2004.12.20,"수지구 현암로 100-6 (죽전동, 우미이노스빌)",37.3265562,127.1253135
수지구,죽전동,분양,새터마을 우미이노스빌 (201동) 죽전5차,59,2004.12.20,"수지구 현암로 100-12 (죽전동, 우미이노스빌)",37.3265562,127.1253135
수지구,죽전동,분양,새터마을 모아미래도 (301-305동),252,2005.02.03,"수지구 대지로 127 (죽전동, 모아미래도)",37.3303775,127.1211915
수지구,죽전동,분양,내대지마을 푸르지오아파트,142,2004.10.29,"수지구 죽전로 235 (죽전동, 내대지마을대우푸르지오아파트)",37.3311218,127.1287393
수지구,죽전동,분양,내대지마을 정석베르데파크아파트,37,2006.12.22,"수지구 죽전로264번길 6 (죽전동, 내대지마을정석베르데파크)",37.3311218,127.1287393
수지구,죽전동,분양,내대지마을 진흥더블파크,160,2004.06.30,"수지구 죽전로254번길 29 (죽전동, 내대지마을 진흥더블파크)",37.3311218,127.1287393
수지구,죽전동,분양,내대지마을 광명샤인빌,91,2005.10.10,"수지구 죽전로254번길 39 (죽전동, 광명샤인빌)",37.3331518,127.1327462
수지구,죽전동,분양,내대지마을 힐스테이트,120,2004.06.30,"수지구 죽전로238번길 5 (죽전동, 내대지마을힐스테이트)",37.3296888,127.1372827
기흥구,중동 ,분양,신동백 서해그랑블 2차,817,2014.06.03.,기흥구 언동로217번길 31,37.277518,127.1473891
기흥구,신갈동,분양,기흥역 롯데캐슬스카이,625,2014.12.22.(2014.11.17.),기흥구 중부대로 375,37.2653654,127.1005782
기흥구,공세동,임대,한보라마을 휴먼시아 7단지,851,2006.11.24.,"기흥구 한보라2로 168  (공세동, 한보라마을휴먼시아7단지아파트)",37.2451596999999,127.1088269
기흥구,농서동,임대,서천마을 휴먼시아 3단지(임대),980,2011.05.17.,"기흥구 서천서로 125  (농서동, 서천마을휴먼시아 3단지)",37.2357713,127.0697754
기흥구,동백동,임대,백현마을 7단지 주공그린빌,561,2006.03.23.,"기흥구 동백8로 103  (동백동, 백현마을주공7단지아파트)",37.2838217,127.1625433
기흥구,동백동,임대,백현마을 9단지 주공그린빌,981,2006.05.17.,"기흥구 동백8로131번길 20  (동백동, 백현마을주공9단지아파트)",37.2825111,127.1668186
기흥구,동백동,임대,호수마을 3단지 주공뜨란채,898,2006.05.30.,"기흥구 동백8로 64  (동백동, 호수마을주공3단지아파트)",37.2839054,127.1576939
기흥구,보라동,임대,한보라마을 휴먼시아4단지,581,2006.10.18.,"기흥구 한보라1로43번길 23  (보라동, 한보라마을휴먼시아4단지아파트)",37.2505202,127.1116321
기흥구,상하동,임대,강남마을 8단지 주공아파트,1176,2004.05.29.,"기흥구 강남동로 92  (상하동, 강남마을주공8단지아파트)",37.2712959,127.1359069
기흥구,서천동,임대,서천마을 휴먼시아 2단지(임대),663,2011.06.14.,"기흥구 서천로128번길 12  (서천동, 서천마을휴먼시아 2단지)",37.2381321,127.0712197
기흥구,신갈동,임대,녹원마을 새천년그린빌 3단지,693,2006.03.20.,"기흥구 새천년로16번길 16  (신갈동, 녹원마을새천년그린빌3단지아파트)",37.288301,127.1101135
기흥구,영덕동,임대,흥덕마을 휴먼시아 3단지(임대),866,2009.09.02.,"기흥구 흥덕2로 80  (영덕동, 휴먼시아 흥덕마을3단지)",37.274083,127.074261
기흥구,영덕동,임대,흥덕마을 휴먼시아 4단지(임대),383,2009.06.29.,"기흥구 흥덕2로 46  (영덕동, 휴먼시아 흥덕마을4단지)",37.271991,127.074005
기흥구,중동 ,분양,동백 광명샤인빌,138,2014.02.27.,기흥구 언동로 193-12,37.2781226,127.1441457
기흥구,상갈동,분양,금화마을 주공그린빌4단지,742,2001.10.12.,"기흥구 금화로58번길 10 (상갈동, 금화마을주공4단지아파트)",37.2627132,127.1101597
기흥구,상갈동,분양,금화마을주공그린빌,40,2001.09.07.,"기흥구 금화로11번길 15 (상갈동, 금화마을주공2단지아파트)",37.2632963,127.1057712
기흥구,상갈동,분양,금화마을 주공그린빌 6단지,228,2001.09.07.,"기흥구 금화로11번길 9 (상갈동, 금화마을주공6단지아파트)",37.2628099,127.1050877
기흥구,상갈동,분양,금화마을 주공그린빌3단지,1070,2001.10.08.,"기흥구 금화로11번길 10 (상갈동, 금화마을주공3단지아파트)",37.2624231,127.1071632
기흥구,상하동,분양,인정프린스아파트,367,1996.12.20.,"기흥구 중부대로 820 (상하동, 인정프린스아파트)",37.2559873,127.1428991
기흥구,상하동,분양,용인 대우아파트,432,1997.05.09.,"기흥구 중부대로 735 (상하동, 대우아파트)",37.262862,127.1411955
기흥구,상하동,분양,풍림아파트,469,1998.11.14.,"기흥구 어정로 80 (상하동, 풍림아파트)",37.2726561,127.139812
기흥구,상하동,분양,수원동마을 쌍용아파트,1342,2002.05.30.,"기흥구 중부대로788번길 20 (상하동, 수원동마을쌍용스윗닷홈아파트)",37.257187,127.139407
기흥구,상하동,분양,강남마을 한라비발디,890,2004.05.25.,"기흥구 강남동로 128 (상하동, 강남마을한라비발디아파트)",37.275601,127.137879
기흥구,상하동,분양,수원동마을 쌍용스윗닷홈 2단지(201-207),465,2004.11.23.,"기흥구 중부대로788번길 15 (상하동, 수원동마을쌍용스윗닷홈2단지)",37.257187,127.139407
기흥구,상하동,분양,갈천마을 신일유토빌아파트,510,2004.12.08.(2003.08.14).,"기흥구 어정로 62-7 (상하동, 신일유토빌아파트)",37.2711035,127.1389174
기흥구,상하동,분양,지석마을 진흥더루벤스(1단지),200,2009.03.13(2008.12.31),"기흥구 중부대로746번길 20 (상하동, 지석마을진흥더루벤스1단지)",37.2609551,127.1374222
기흥구,상하동,분양,지석마을 진흥더루벤스(2단지),851,2009.03.13(2008.12.31),"기흥구 중부대로746번길 21 (상하동, 지석마을진흥더루벤스2단지)",37.2596913,127.1387418
기흥구,상하동,분양,지석마을 그대가 크레던스,554,2011.04.01(2010.10.01.),"기흥구 어정로 62-28 (상하동, 지석마을그대가크레던스)",37.2684351,127.136518
기흥구,서천동,분양,서그내마을 에스케이아파트,807,2002.05.20.,"기흥구 예현로 15 (서천동, 에스케이비우아파트)",37.2445199,127.0716548
기흥구,영덕동,임대,흥덕마을 휴먼시아 1단지(임대),1254,2009.02.06.,"기흥구 흥덕1로79번길 7  (영덕동, 휴먼시아 흥덕마을1단지)",37.275762,127.071276
