시도,시군구,읍면동,단지코드,단지명,단지분류,도로명주소,세대수,총주차대수,cell_ycrd,cell_xcrd
경기도,용인처인구,역삼동,A10025716,역북신원아침도시아파트,아파트,경기도 용인시 처인구 낙은로 11,452,490,37.2414775,127.1962133
경기도,용인처인구,양지면,A10025679,양지포레스토리,연립주택,경기도 용인시 처인구 은이로 85,174,185,37.2185696,127.2770123
경기도,용인처인구,유림동,A10025660,양우내안애에듀퍼스트,아파트,경기도 용인시 처인구 경안천로 196-1,1098,1217,37.2448753,127.2144711
경기도,용인기흥구,영덕2동,A10025178,힉스유타워 아파트,아파트,경기도 용인시 기흥구 중부대로 184,230,265,37.2653654,127.1005782
경기도,용인수지구,성복동,A10025592,성복역 KCC스위첸,아파트,경기도 용인시 수지구 성복1로 62,188,212,37.3175005,127.0653222
경기도,용인기흥구,신갈동,A10025541,신흥덕 롯데캐슬레이시티,아파트,경기도 용인시 기흥구 신정로 25,1597,1804,37.2897191,127.1014604
경기도,용인수지구,성복동,A10025412,성복역 롯데캐슬 골드타운,아파트,경기도 용인시 수지구 성복2로 10,2356,2817,37.3173486,127.0657805
경기도,용인수지구,풍덕천1동,A10025555,수지파크푸르지오,아파트,경기도 용인시 수지구 풍덕천로171번길 9,430,548,37.326677,127.0990275
경기도,용인기흥구,영덕2동,A10025587,용인기흥 효성해링턴플레이스아파트,아파트,경기도 용인시 기흥구 덕영대로2077번길 33,1679,1972,37.2668569,127.0938951
경기도,용인기흥구,보라동,A10025465,용인보라해링턴플레이스아파트,아파트,경기도 용인시 기흥구 사은로84번길 10,970,1119,37.2549828,127.1146427
경기도,용인수지구,동천동,A10025481,동천센트럴자이아파트,아파트,경기도 용인시 수지구 고기로45번길 40-18,1057,1383,37.3414282,127.09015
경기도,용인처인구,중앙동,A10025935,스위트홈아파트,도시형 생활주택(주상복합),경기도 용인시 처인구 금령로12번길 12,168,134,37.2340351,127.1982669
경기도,용인처인구,포곡읍,A44977906,인정멜로디,아파트,경기도 용인시 처인구 포곡로61번길 17,831,824,37.2701831,127.2123037
경기도,용인처인구,포곡읍,A44981205,신원1차,아파트,경기도 용인시 처인구 포곡로 90,474,485,37.2673683,127.215862
경기도,용인처인구,포곡읍,A44981201,신원2차,아파트,경기도 용인시 처인구 포곡로 98-1,296,296,37.2671718,127.2174808
경기도,용인처인구,모현읍,A44985401,풍산햇빛마을,아파트,경기도 용인시 처인구 백옥대로2332번길 21-8,330,330,37.3326198,127.2496088
경기도,용인처인구,역삼동,A44980405,용인행정타운두산위브2단지,아파트,경기도 용인시 처인구 지삼로590번길 9,624,844,37.2407937,127.1685228
경기도,용인처인구,포곡읍,A44981101,삼성쉐르빌아파트,아파트,경기도 용인시 처인구 포곡로 159,469,671,37.2721091,127.2222076
경기도,용인처인구,역삼동,A44980406,용인행정타운두산위브1단지,아파트,경기도 용인시 처인구 지삼로590번길 24,199,334,37.2379662,127.1669651
경기도,용인처인구,역삼동,A44980407,용인행정타운두산위브3단지,아파트,경기도 용인시 처인구 지삼로590번길 29,470,709,37.2379662,127.1669651
경기도,용인처인구,중앙동,A44902002,삼환,아파트,경기도 용인시 처인구 중부대로1388번길 6-4,180,180,37.2331756,127.1976213
경기도,용인처인구,중앙동,A44970501,용인김량장주공2단지,아파트,경기도 용인시 처인구 중부대로1388번길 6-14,495,505,37.2332327,127.1963404
경기도,용인처인구,중앙동,A44992701,신우,아파트,경기도 용인시 처인구 중부대로1388번길 12,176,258,37.2324064,127.1975415
경기도,용인처인구,역삼동,A44980404,행정타운늘푸른오스카빌,아파트,경기도 용인시 처인구 중부대로1158번길 12,675,817,37.2377369,127.1704115
경기도,용인처인구,이동읍,A44983602,샘골마을신미주2단지,아파트,경기도 용인시 처인구 백옥대로587번길 7,234,241,37.1890263,127.2052835
경기도,용인처인구,모현읍,A44985101,모현KCC스위첸,아파트,경기도 용인시 처인구 외대로54번길 12,308,387,37.3342455,127.2534724
경기도,용인처인구,이동읍,A44983604,샘골마을신미주1단지,아파트,경기도 용인시 처인구 백옥대로621번길 11,800,804,37.1922759,127.2045139
경기도,용인처인구,이동읍,A44983101,송전마을세광리치타워,아파트,경기도 용인시 처인구 경기동로705번길 28,782,997,37.1383131,127.2011905
경기도,용인처인구,역삼동,A44971901,용인삼가풍림,아파트,경기도 용인시 처인구 금학로1번길 9,377,399,37.2460967,127.1669913
경기도,용인처인구,유림동,A44978101,이삭베스트,아파트,경기도 용인시 처인구 경안천로256번길 47-14,300,317,37.2524826,127.2271614
경기도,용인처인구,유림동,A44978806,임원마을영화1차,아파트,경기도 용인시 처인구 경안천로256번길 47-16,513,648,37.2529612,127.2260811
경기도,용인처인구,남사읍,A10026198,e편한세상 용인한숲시티 5단지,아파트,경기도 용인시 처인구 한숲로 83,2336,2732,37.154057,127.1694138
경기도,용인처인구,남사읍,A10026178,e편한세상 용인한숲시티6단지,아파트,경기도 용인시 처인구 한숲로 84,1784,2101,37.154057,127.1694138
경기도,용인처인구,남사읍,A10026208,이편한세상 용인한숲시티 3단지,아파트,경기도 용인시 처인구 한숲로 123,1449,1682,37.154057,127.1694138
경기도,용인처인구,남사읍,A10026189,e편한세상용인한숲시티4단지,아파트,경기도 용인시 처인구 한숲로 124,710,834,37.154057,127.1694138
경기도,용인처인구,남사읍,A10026202,e편한세상 용인한숲시티 2단지,아파트,경기도 용인시 처인구 한숲로 137,446,524,37.154057,127.1694138
경기도,용인처인구,유림동,A44974208,인정피렌체빌리지1차,아파트,경기도 용인시 처인구 한터로152번길 45,639,649,37.2461609,127.2308262
경기도,용인처인구,유림동,A44974307,예진마을3차,아파트,경기도 용인시 처인구 한터로152번길 62,516,638,37.2444956,127.2309547
경기도,용인처인구,유림동,A44980703,예원마을코아루,아파트,경기도 용인시 처인구 한터로275번길 40,408,493,37.2582982,127.2368783
경기도,용인처인구,유림동,A44993401,용인성웅,아파트,경기도 용인시 처인구 영문로29번길 17,271,252,37.2674446,127.2070195
경기도,용인처인구,모현읍,A44985502,효천마을신안인스빌,아파트,경기도 용인시 처인구 문현로 326,862,1042,37.336697,127.2434822
경기도,용인처인구,동부동,A44978703,마평우성,아파트,경기도 용인시 처인구 금령로173번길 5,358,324,37.234869,127.2150041
경기도,용인처인구,동부동,A44978701,용인마평두보,아파트,경기도 용인시 처인구 금령로173번길 14,248,254,37.2355102,127.2163115
경기도,용인처인구,역삼동,A10026630,우미 린 센트럴파크 관리사무소,아파트,경기도 용인시 처인구 명지로16번길 25,1260,1462,37.2345179,127.1879177
경기도,용인처인구,역삼동,A10026217,용인 명지대역 동원로얄듀크아파트,아파트,경기도 용인시 처인구 명지로16번길 26,842,959,37.2345179,127.1879177
경기도,용인처인구,이동읍,A44983301,동아,아파트,경기도 용인시 처인구 이원로 22,202,132,37.1891227,127.20946
경기도,용인처인구,포곡읍,A44981402,용인수목원우림필유아파트,아파트,경기도 용인시 처인구 백옥대로1898번길 34,346,387,37.2946122,127.2378268
경기도,용인처인구,중앙동,A10026022,웰메이드시티337,도시형 생활주택(주상복합),경기도 용인시 처인구 금령로106번길 14-8,299,81,37.2342101,127.2078005
경기도,용인처인구,중앙동,A44970502,금호어울림아파트,아파트,경기도 용인시 처인구 금령로13번길 13,484,554,37.2362757,127.1970058
경기도,용인처인구,중앙동,A44970904,김량장동현대아파트,아파트,경기도 용인시 처인구 백옥대로1068번길 12,755,490,37.2301687,127.2115864
경기도,용인처인구,유림동,A44901004,예진마을2차,아파트,경기도 용인시 처인구 한터로152번길 15,416,515,37.2467124,127.2290272
경기도,용인처인구,역삼동,A10026640,역북지웰 푸르지오,아파트,경기도 용인시 처인구 명지로40번길 35-16,1259,1463,37.232335,127.1881255
경기도,용인처인구,역삼동,A10026765,용인역북골드클래스아파트,아파트,경기도 용인시 처인구 명지로40번길 35-29,623,753,37.232335,127.1881255
경기도,용인기흥구,동백3동,A10024231,용인동백두산위브더제니스,아파트,경기도 용인시 기흥구 동백죽전대로 507,1187,1434,37.2721371,127.1521978
경기도,용인기흥구,신갈동,A10025253,이안 두드림기흥역,주상복합,경기도 용인시 기흥구 중부대로 376,297,235,37.2713491,127.1088506
경기도,용인수지구,상현2동,A10025299,더샵수지포레,아파트,경기도 용인시 수지구 만현로67번길 20,479,597,37.3086893,127.0899616
경기도,용인기흥구,구갈동,A44673512,구갈한성1차,아파트,경기도 용인시 기흥구 기흥로 29,570,450,37.27866,127.114786
경기도,용인수지구,풍덕천2동,A10026839,e편한세상 수지아파트,아파트,경기도 용인시 수지구 포은대로313번길 7-10,1237,1388,37.3145055,127.0857938
경기도,용인기흥구,구갈동,A10026215,기흥역센트럴푸르지오,아파트,경기도 용인시 기흥구 기흥역로58번길 10,1316,1676,37.2719957,127.1070119
경기도,용인기흥구,구갈동,A10026005,기흥역파크푸르지오아파트,아파트,경기도 용인시 기흥구 기흥역로58번길 56,769,926,37.275657,127.115944
경기도,용인기흥구,구갈동,A10025933,기흥역 더샵 아파트,아파트,경기도 용인시 기흥구 기흥역로58번길 78,1219,1587,37.275657,127.115944
경기도,용인수지구,풍덕천2동,A44898902,신정마을극동임광,아파트,경기도 용인시 수지구 정평로 73,424,721,37.3224623,127.0886197
경기도,용인수지구,풍덕천2동,A44875603,신정마을현대프라임,아파트,경기도 용인시 수지구 정평로 89,462,801,37.323384,127.0901363
경기도,용인수지구,풍덕천1동,A44876702,수지한국,아파트,경기도 용인시 수지구 정평로 116,416,316,37.3236959,127.0936675
경기도,용인수지구,죽전2동,A44875411,현암마을동성2차,아파트,경기도 용인시 수지구 용구대로 2720,838,883,37.3274914,127.1100758
경기도,용인수지구,죽전2동,A44816015,죽전동성1차,아파트,경기도 용인시 수지구 용구대로 2742,684,683,37.3303672,127.1106094
경기도,용인기흥구,마북동,A44655712,삼성래미안1차,아파트,경기도 용인시 기흥구 용구대로2394번길 27,1282,2135,37.2990376,127.1115909
경기도,용인수지구,상현1동,A44851802,상현현대성우2차,아파트,경기도 용인시 수지구 상현로11번길 26,198,386,37.3041141,127.0774144
경기도,용인수지구,상현1동,A44851501,금호베스트빌3단지,아파트,경기도 용인시 수지구 상현로42번길 40,159,276,37.303096,127.0820606
경기도,용인수지구,상현1동,A44851509,상현마을동일스위트,아파트,경기도 용인시 수지구 상현로42번길 46,312,475,37.3041056,127.0821194
경기도,용인기흥구,보정동,A44691304,죽전자이2차,주상복합,경기도 용인시 기흥구 용구대로2469번길 20,275,435,37.3079519,127.1063048
경기도,용인수지구,상현1동,A44813002,서원마을현대홈타운,아파트,경기도 용인시 수지구 포은대로 231,462,556,37.3092789,127.0817903
경기도,용인수지구,상현2동,A44874606,성복역리버파크,아파트,경기도 용인시 수지구 포은대로 298,702,532,37.3133352,127.0874438
경기도,용인수지구,죽전2동,A44816001,죽전7차현대홈타운2단지,아파트,경기도 용인시 수지구 탄천상로 6,194,198,37.3321502,127.1123792
경기도,용인수지구,죽전2동,A44876902,현인마을대림이편한세상2차,아파트,경기도 용인시 수지구 탄천상로 29,206,227,37.3344694,127.1112776
경기도,용인수지구,죽전2동,A44876904,현인마을대림이편한세상3차,아파트,경기도 용인시 수지구 탄천상로 30,239,263,37.3338963,127.1122379
경기도,용인수지구,동천동,A44851003,원천마을푸르지오,아파트,경기도 용인시 수지구 고기로 3,190,191,37.342434,127.1010208
경기도,용인수지구,동천동,A44812007,행림마을진로,아파트,경기도 용인시 수지구 고기로 11,269,272,37.3423097,127.0999592
경기도,용인수지구,동천동,A10026065,동천자이아파트,아파트,경기도 용인시 수지구 고기로 89,1437,1847,37.3453396,127.0929391
경기도,용인수지구,상현2동,A44851611,진산마을성원상떼빌아파트,아파트,경기도 용인시 수지구 진산로 24,1744,1741,37.3140878,127.092754
경기도,용인수지구,신봉동,A10026986,광교산한양수자인더킨포크,연립주택,경기도 용인시 수지구 태봉로 17,294,345,37.3334708,127.0595024
경기도,용인수지구,풍덕천2동,A44899106,수지진흥아파트,아파트,경기도 용인시 수지구 풍덕천로 19,414,448,37.3189996,127.0852565
경기도,용인수지구,풍덕천2동,A44899101,신정마을6단지상록,아파트,경기도 용인시 수지구 풍덕천로 33,393,404,37.3187877,127.0869875
경기도,용인수지구,풍덕천2동,A44899209,현대성우,아파트,경기도 용인시 수지구 풍덕천로 52,1239,1296,37.3182804,127.0902633
경기도,용인수지구,풍덕천2동,A44899006,신정마을7단지 상록아파트,아파트,경기도 용인시 수지구 풍덕천로 75,670,632,37.3208701,127.0899184
경기도,용인수지구,풍덕천2동,A44899307,신정마을9단지,아파트,경기도 용인시 수지구 풍덕천로 76,812,814,37.3196623,127.0919751
경기도,용인기흥구,동백2동,A44675112,초당마을삼부르네상스아파트,아파트,경기도 용인시 기흥구 동백1로 9,289,320,37.2642454,127.1574124
경기도,용인기흥구,동백2동,A44675304,초당마을 삼부르네상스,아파트,경기도 용인시 기흥구 동백1로 12,279,308,37.2633455,127.1582015
경기도,용인수지구,풍덕천2동,A44898708,신정마을주공1단지아파트,아파트,경기도 용인시 수지구 풍덕천로 91,1044,1045,37.3220492,127.0918527
경기도,용인기흥구,신갈동,A44696202,신갈신미주,아파트,경기도 용인시 기흥구 신갈로138번길 12,247,149,37.2783974,127.107181
경기도,용인수지구,풍덕천2동,A44899105,수지에듀파크,아파트,경기도 용인시 수지구 정평로13번길 20,279,283,37.317168,127.0866912
경기도,용인기흥구,보정동,A44697610,동원로얄듀크,아파트,경기도 용인시 기흥구 죽현로 12,706,927,37.318504,127.11007
경기도,용인기흥구,동백2동,A44691609,어은목마을 벽산블루밍,아파트,경기도 용인시 기흥구 동백2로 11,533,773,37.2682124,127.1546826
경기도,용인기흥구,동백2동,A44691608,동백역 경남아너스빌,아파트,경기도 용인시 기흥구 동백2로 12,592,650,37.2666613,127.1558939
경기도,용인기흥구,동백2동,A44671707,대원칸타빌,아파트,경기도 용인시 기흥구 동백2로 37,432,835,37.2694433,127.156581
경기도,용인기흥구,보라동,A44690404,한보라 에듀포레,아파트,경기도 용인시 기흥구 한보라1로43번길 22,446,497,37.2490286,127.1099826
경기도,용인기흥구,보라동,A44690405,한보라마을휴먼시아4단지,아파트,경기도 용인시 기흥구 한보라1로43번길 23,581,530,37.250131,127.1113527
경기도,용인기흥구,보라동,A44673703,삼성래미안,아파트,경기도 용인시 기흥구 한보라1로64번길 22,370,373,37.2517612,127.1063354
경기도,용인기흥구,신갈동,A44659803,인성마을현대,아파트,경기도 용인시 기흥구 용구대로 2242,293,215,37.2867008,127.1083516
경기도,용인기흥구,마북동,A44693706,연원마을현대,아파트,경기도 용인시 기흥구 연원로 60,424,765,37.3025605,127.112153
경기도,용인기흥구,보정동,A44693909,연원마을성원아파트,아파트,경기도 용인시 기흥구 연원로 49,691,1123,37.3036996,127.1100054
경기도,용인기흥구,서농동,A44695902,서그내마을SK,아파트,경기도 용인시 기흥구 예현로 15,807,1048,37.2445199,127.0716548
경기도,용인수지구,풍덕천2동,A44899102,신정마을우성,아파트,경기도 용인시 수지구 정평로 41,443,482,37.3199788,127.0861529
경기도,용인수지구,풍덕천2동,A44897804,신정마을성지,아파트,경기도 용인시 수지구 정평로 61,538,923,37.3214227,127.0866758
경기도,용인기흥구,보정동,A44691301,죽전누리에뜰,주상복합,경기도 용인시 기흥구 죽전로 20,200,268,37.320049,127.1108698
경기도,용인기흥구,기흥동,A44690101,매화마을 우남 퍼스트빌,아파트,경기도 용인시 기흥구 고매로34번길 10,166,171,37.2301155,127.1121365
경기도,용인기흥구,기흥동,A44657603,우림홀인원,아파트,경기도 용인시 기흥구 고매로34번길 31,299,361,37.2283451,127.1144572
경기도,용인수지구,풍덕천1동,A44875904,동보1차,아파트,경기도 용인시 수지구 풍덕천로 161,470,587,37.3256226,127.0979445
경기도,용인수지구,풍덕천1동,A44878407,수지푸르지오월드마크,주상복합,경기도 용인시 수지구 포은대로 467,198,258,37.3133529,127.0908014
경기도,용인수지구,풍덕천1동,A10025228,풍덕천동 한샘 더랜드마크,도시형 생활주택(주상복합),경기도 용인시 수지구 포은대로 477,220,244,37.3240079,127.1019727
경기도,용인수지구,상현1동,A44813009,서원마을3단지아이파크,아파트,경기도 용인시 수지구 포은대로 219,438,709,37.3081086,127.0806573
경기도,용인기흥구,보정동,A44677015,신촌마을포스홈타운1단지,아파트,경기도 용인시 기흥구 용구대로2518번길 15,884,1654,37.3106907,127.1101937
경기도,용인기흥구,기흥동,A44690201,불곡마을벽산블루밍,아파트,경기도 용인시 기흥구 고매로43번길 32-2,390,480,37.2323529,127.1174464
경기도,용인수지구,풍덕천1동,A44878309,수지현대아파트,아파트,경기도 용인시 수지구 수지로342번길 18,1168,871,37.3261735,127.0946781
경기도,용인수지구,상현1동,A44813001,풍산,아파트,경기도 용인시 수지구 수지로78번길 20,438,333,37.309859,127.0768963
경기도,용인기흥구,상하동,A44677402,인정프린스4차,아파트,경기도 용인시 기흥구 중부대로 820,367,238,37.2559873,127.1428991
경기도,용인기흥구,동백3동,A44691111,해든마을동문굿모닝힐,아파트,경기도 용인시 기흥구 동백죽전대로 455-10,512,619,37.2802174,127.1508744
경기도,용인기흥구,동백3동,A44691107,동백동원로얄듀크,아파트,경기도 용인시 기흥구 동백죽전대로 455-17,477,750,37.2795982,127.1490963
경기도,용인기흥구,보정동,A44691302,신촌마을상록데시앙,아파트,경기도 용인시 기흥구 보정로 26,230,262,37.3131032,127.1105962
경기도,용인기흥구,보정동,A44694013,동아솔레시티,아파트,경기도 용인시 기흥구 보정로 30,1701,3777,37.311563,127.1123596
경기도,용인수지구,신봉동,A44853602,한일유엔아이,아파트,경기도 용인시 수지구 신봉1로48번길 29,296,303,37.3243278,127.081438
경기도,용인수지구,신봉동,A44853605,서홍한화꿈에그린,아파트,경기도 용인시 수지구 신봉1로48번길 32,404,407,37.3233153,127.0811242
경기도,용인수지구,신봉동,A44853601,서홍마을벽산블루밍,아파트,경기도 용인시 수지구 신봉1로48번길 45,246,248,37.324157,127.082767
경기도,용인수지구,신봉동,A44815004,신봉마을자이3차,아파트,경기도 용인시 수지구 신봉1로71번길 25,401,442,37.3207041,127.078367
경기도,용인기흥구,보라동,A44695410,민속마을쌍용,아파트,경기도 용인시 기흥구 사은로126번길 10,1596,2776,37.2535722,127.1172429
경기도,용인수지구,성복동,A44898206,성복힐스테이트3차,아파트,경기도 용인시 수지구 성복2로 220,823,1674,37.3210477,127.0635893
경기도,용인수지구,성복동,A44898210,성복자이2차,아파트,경기도 용인시 수지구 성복2로 251,783,1732,37.3173486,127.0657805
경기도,용인기흥구,구성동,A44657207,장미마을 삼성래미안2차,아파트,경기도 용인시 기흥구 구성로 90,1219,1494,37.2929651,127.1183347
경기도,용인수지구,죽전1동,A44895021,죽전퍼스트하임,아파트,경기도 용인시 수지구 대지로 49,480,509,37.3295507,127.1145639
경기도,용인수지구,죽전1동,A44816008,꽃메마을현대홈타운4-4,아파트,경기도 용인시 수지구 푸른솔로 20,342,572,37.3216441,127.1163051
경기도,용인수지구,죽전1동,A44898312,도담마을뜨리에체,아파트,경기도 용인시 수지구 푸른솔로 49,430,430,37.3247753,127.1143729
경기도,용인수지구,죽전1동,A44816009,현대홈타운4차1단지,아파트,경기도 용인시 수지구 푸른솔로 55,351,591,37.3254573,127.1168878
경기도,용인수지구,죽전1동,A44854505,꽃메마을현대힐스테이트4차2단지,아파트,경기도 용인시 수지구 푸른솔로 56,254,266,37.3242317,127.116268
경기도,용인수지구,죽전1동,A44816108,도담마을 한양수자인,아파트,경기도 용인시 수지구 푸른솔로 76,332,347,37.3250982,127.1188711
경기도,용인수지구,죽전1동,A44854211,우미이노스빌1차,아파트,경기도 용인시 수지구 푸른솔로 88,418,424,37.326079,127.1195378
경기도,용인기흥구,영덕2동,A44672601,"청명호수마을신안인스빌1,2단지",아파트,경기도 용인시 기흥구 덕영대로 1871,1003,1536,37.2551407,127.0887786
경기도,용인기흥구,보정동,A44656712,죽현마을아이파크1차,아파트,경기도 용인시 기흥구 보정로 87,1466,1550,37.3179762,127.1138299
경기도,용인기흥구,보정동,A44691303,죽현마을LG자이,아파트,경기도 용인시 기흥구 보정로 88,238,553,37.317145,127.116421
경기도,용인기흥구,보라동,A44695301,기흥삼정,아파트,경기도 용인시 기흥구 사은로 64,299,243,37.2547375,127.1123312
경기도,용인기흥구,보라동,A44690402,화성파크드림아파트,아파트,경기도 용인시 기흥구 한보라2로 93,311,614,37.24867,127.1121499
경기도,용인기흥구,기흥동,A44679603,화성파크드림프라브,연립주택,경기도 용인시 기흥구 한보라2로 141,261,320,37.2453941,127.1106566
경기도,용인기흥구,기흥동,A44690203,한보라마을 경남아너스빌,아파트,경기도 용인시 기흥구 한보라2로 167,600,542,37.2431637,127.1083463
경기도,용인기흥구,기흥동,A44690205,한보라마을휴먼시아7단지,아파트,경기도 용인시 기흥구 한보라2로 168,851,771,37.2447678,127.1084953
경기도,용인수지구,상현2동,A44852403,만현마을5단지현대,아파트,경기도 용인시 수지구 만현로 79,528,889,37.3086236,127.0867709
경기도,용인수지구,상현2동,A44852301,만현마을쌍용3차,아파트,경기도 용인시 수지구 만현로 99,375,677,37.3074042,127.0867405
경기도,용인수지구,상현2동,A44852108,만현마을쌍용1차,아파트,경기도 용인시 수지구 만현로 107,992,1353,37.3061564,127.0882807
경기도,용인수지구,상현2동,A44851604,만현마을두산위브,아파트,경기도 용인시 수지구 만현로 127,556,1281,37.3052123,127.0869069
경기도,용인수지구,풍덕천1동,A44876510,초입마을삼익풍림동아,아파트,경기도 용인시 수지구 문인로 59,1620,761,37.3320489,127.0960328
경기도,용인기흥구,보라동,A44695508,민속마을 신창미션힐,아파트,경기도 용인시 기흥구 사은로126번길 33,926,1534,37.2523963,127.122345
경기도,용인기흥구,보라동,A44658209,민속마을현대모닝사이드,아파트,경기도 용인시 기흥구 사은로126번길 46,1112,1770,37.2522675,127.1205248
경기도,용인기흥구,구갈동,A10026657,기흥역 롯데캐슬레이시티,아파트,경기도 용인시 기흥구 기흥역로 9,260,310,37.275657,127.115944
경기도,용인기흥구,구갈동,A10026636,기흥역지웰푸르지오(주상복합),아파트,경기도 용인시 기흥구 기흥역로 16,561,640,37.275657,127.115944
경기도,용인기흥구,구갈동,A10026083,힐스테이트기흥,아파트,경기도 용인시 기흥구 기흥역로 63,976,1218,37.275657,127.115944
경기도,용인수지구,죽전1동,A44897114,대지마을현대홈타운3차2단지,아파트,경기도 용인시 수지구 대지로15번길 60,537,657,37.3326102,127.1143633
