구분,지정일자,최신재지정일자,업소명,소재지(도로명),소재지(지번),소재지전화번호,주된음식,면적,행정동,데이터제공일자
재지정,2006-06-30,2016-07-12,홍도해물탕,"경기도 용인시 기흥구 민속촌로11번길 7, 2층 (보라동)",경기도 용인시 기흥구 보라동 394 2층 ,031-285-6337,"해물탕,해물찜",225.61,기흥구 상갈동,2022-07-21
재지정,2014-05-19,2018-11-12,한성가든,"경기도 용인시 기흥구 구교동로 170 (마북동,외2필지)",경기도 용인시 기흥구 마북동 176 - 1 외2필지 ,031-284-4664,"등심,삼겹살",420.62,기흥구 마북동,2022-07-21
재지정,2014-05-19,2018-11-12,세꼬시마을,경기도 용인시 기흥구 죽전로43번길 11-5 (보정동),경기도 용인시 기흥구 보정동 1206 - 7  ,031-898-0908,"세꼬시,활어회",134.96,기흥구 보정동,2022-07-21
재지정,2007-06-19,2018-11-12,(주)한국관,"경기도 용인시 기흥구 기흥단지로 8 (고매동,외1필지)",경기도 용인시 기흥구 고매동 413 - 27 외1필지 ,031-275-6100,"갈비,등심",1614.16,기흥구 기흥동,2022-07-21
재지정,2007-06-19,2018-11-12,도원,"경기도 용인시 기흥구 용구대로 1859, 2층 (하갈동)",경기도 용인시 기흥구 하갈동 143 - 4 2층 ,031-283-7227,"자장,짬뽕",459.58,기흥구 영덕동,2022-07-21
재지정,2007-11-30,2018-11-12,다원,경기도 용인시 기흥구 마북로 119-4 (마북동),경기도 용인시 기흥구 마북동 237 - 2  ,031-284-2276,한정식,218,기흥구 마북동,2022-07-21
재지정,2007-06-19,2016-07-12,주문진해물,"경기도 용인시 기흥구 민속촌로 37 (보라동, 본관1층, 별관1층)","경기도 용인시 기흥구 보라동 410 - 2 본관1층, 별관1층 ",031-282-5353,"해물찜,해물탕",283.49,기흥구 상갈동,2022-07-21
재지정,2008-11-25,2016-07-12,호박촌,"경기도 용인시 기흥구 중부대로773번길 7 (상하동,1층)",경기도 용인시 기흥구 상하동 250 - 4 1층 ,031-283-0708,오리훈제,70.22,기흥구 상하동,2022-07-21
재지정,2009-11-30,2018-11-12,남원골추어탕과나주곰탕,"경기도 용인시 기흥구 중부대로 563 (구갈동,명문메디칼프라자 101,102호)","경기도 용인시 기흥구 구갈동 581 - 2 명문메디칼프라자 101,102호 ",031-282-0499,"추어탕,곰탕",197.6,기흥구 구갈동,2022-07-21
재지정,2013-08-01,2018-11-12,소문난 대구왕뽈찜,"경기도 용인시 기흥구 죽전로 39 (보정동, 에스제이타워 201호)",경기도 용인시 기흥구 보정동 1207 - 3  ,031-897-2134,대구왕뻘찜,189.2,기흥구 보정동,2022-07-21
재지정,2015-10-07,2018-11-12,(주)청송본가,"경기도 용인시 기흥구 용구대로 2439 (마북동,2층)",경기도 용인시 기흥구 마북동 502 - 75 2층 ,031-284-4001,"등심,주물럭",1011.15,기흥구 마북동,2022-07-21
재지정,2008-11-25,2018-11-12,가오리와방패연,"경기도 용인시 기흥구 하갈로 98 (하갈동,1,2,3층)","경기도 용인시 기흥구 하갈동 233 1,2,3층 ",031-216-1100,한정식,442.8,기흥구 영덕동,2022-07-21
재지정,2008-11-25,2016-07-12,화춘옥,"경기도 용인시 기흥구 동백죽전대로 483 (동백동,지하1층,지상1,2,3층)","경기도 용인시 기흥구 동백동 445 - 4 지하1층,지상1,2,3층 ",031-8005-7900,갈비,557.25,기흥구 동백동,2022-07-21
재지정,2009-11-30,2018-04-19,디엔차이,"경기도 용인시 기흥구 용구대로2469번길 20 (보정동,죽전자이2차 114,115호)","경기도 용인시 기흥구 보정동 1291 죽전자이2차 114,115호 ",031-889-7787,"짜장면,짬뽕,탕수육",122.4,기흥구 보정동,2022-07-21
재지정,2014-05-19,2018-11-12,죽전민수사,"경기도 용인시 기흥구 포은대로512번길 41 (보정동, SJ빌딩 가동 1층)",경기도 용인시 기흥구 보정동 375 - 8 SJ빌딩 가동 1층 ,031-897-2220,생선회,278.82,기흥구 보정동,2022-07-21
재지정,2011-08-01,2016-07-12,큰마당감자탕,"경기도 용인시 기흥구 한보라1로 5 (보라동, 보라메가타운101,102,103,105호)","경기도 용인시 기흥구 보라동 578 - 1 보라메가타운101,102,103,105호 ",031-8005-8887,감자탕,184.35,기흥구 상갈동,2022-07-21
재지정,2009-11-30,2018-04-19,천하장사,"경기도 용인시 기흥구 용인향교로20번길 7 (언남동,1층)",경기도 용인시 기흥구 언남동 330 1층 ,031-283-8590,"생삼겹살, 돼지갈비 등",324,기흥구 구성동,2022-07-21
재지정,2009-11-30,2016-07-12,주식회사 나주집,"경기도 용인시 기흥구 흥덕4로 25 (영덕동,1,2층)","경기도 용인시 기흥구 영덕동 1103 - 1 1,2층 ",031-282-0303,"소고기(안창,차돌)",482.88,기흥구 영덕동,2022-07-21
재지정,2009-11-30,2018-11-12,카페앤레스토랑 하이드파크,"경기도 용인시 기흥구 백남준로 7 (상갈동,외2필지 1,2층)","경기도 용인시 기흥구 상갈동 150 - 7 외2필지 1,2층 ",031-286-8584,"파스타,피자",484.96,기흥구 상갈동,2022-07-21
재지정,2011-12-20,2018-11-12,뼈나라감자탕,"경기도 용인시 기흥구 죽전로43번길 11-15 (보정동,1층)",경기도 용인시 기흥구 보정동 1206 - 2 1층 ,031-889-3360,감자탕,150.48,기흥구 보정동,2022-07-21
재지정,2011-12-20,2018-11-12,에코의 서재,"경기도 용인시 기흥구 죽전로15번길 11-3 (보정동,1층)",경기도 용인시 기흥구 보정동 1187 - 7 1층 ,031-266-1138,"퀘사디아, 그라탕",110.35,기흥구 보정동,2022-07-21
재지정,2010-12-31,2016-07-12,우리네 설렁탕,"경기도 용인시 기흥구 동백3로11번길 47 (중동,1층)",경기도 용인시 기흥구 중동 844 - 4 1층 ,031-282-2488,설렁탕,395.68,기흥구 동백동,2022-07-21
재지정,2011-12-20,2018-04-19,만다린,"경기도 용인시 기흥구 동탄기흥로 957 (공세동,2층 201호)",경기도 용인시 기흥구 공세동 390 - 4 2층 201호 ,031-261-0631,"짜장, 짬뽕 등",214.2,기흥구 기흥동,2022-07-21
재지정,2011-08-01,2018-11-12,싱싱광어,"경기도 용인시 기흥구 죽전로 3 (보정동,메트로프라자 104,105,106호)","경기도 용인시 기흥구 보정동 1195 - 1 메트로프라자 104,105,106호 ",031-889-3633,회,107.04,기흥구 보정동,2022-07-21
재지정,2015-10-07,2018-04-19,경희마루,"경기도 용인시 기흥구 덕영대로 1674 (서천동,2층)",경기도 용인시 기흥구 서천동 320 - 11 2층 ,031-202-3840,숯불구이,456.32,기흥구 서농동,2022-07-21
재지정,2011-12-20,2016-07-12,장수한우프라자,"경기도 용인시 기흥구 흥덕4로15번길 2 (영덕동,2,3,4층)","경기도 용인시 기흥구 영덕동 1103 - 4 2,3,4층 ",031-211-8088,숯불갈비,1087.6,기흥구 영덕동,2022-07-21
재지정,2011-12-20,2018-11-12,기와집,"경기도 용인시 기흥구 백남준로 55 (상갈동,상갈동근생 가동 1층)",경기도 용인시 기흥구 상갈동 142 상갈동근생 가동 1층 ,031-282-2708,옛날불고기,215.61,기흥구 상갈동,2022-07-21
재지정,2012-08-30,2018-11-12,살살녹소,"경기도 용인시 기흥구 석현로12번길 44 (영덕동,1층)",경기도 용인시 기흥구 영덕동 1052 - 2 1층 ,031-273-2755,감자탕,360,기흥구 영덕동,2022-07-21
재지정,2014-05-19,2018-11-12,흥덕골,"경기도 용인시 기흥구 흥덕중앙로 120 (영덕동, U타워 지하115호)",경기도 용인시 기흥구 영덕동 1029 U타워 지하115호 ,,순대국,141.75,기흥구 영덕동,2022-07-21
재지정,2016-07-19,2018-11-12,(주)여시관,"경기도 용인시 기흥구 마북로247번길 28 (마북동, 1층)",경기도 용인시 기흥구 마북동 37 1층 ,,"스테이크, 파스타, 피자",120,기흥구 마북동,2022-07-21
재지정,2017-10-13,2018-11-12,육월,"경기도 용인시 기흥구 관곡로 96 (구갈동, 1층일부)",경기도 용인시 기흥구 구갈동 354 - 3 1층일부 ,031-283-6659,육류구이,208.42,기흥구 구갈동,2022-07-21
재지정,2015-10-07,2016-07-12,아이티컨벤션,"경기도 용인시 기흥구 흥덕1로 13 (영덕동, 흥덕아이티밸리 타워동 A0201,A0202호)","경기도 용인시 기흥구 영덕동 1005 흥덕아이티밸리 타워동 A0201,A0202호 ",,뷔페,1449,기흥구 영덕동,2022-07-21
지정,2018-05-18,2018-05-18,솔뫼숯불갈비,"경기도 용인시 기흥구 이현로30번길 27 (보정동, 2층)",경기도 용인시 기흥구 보정동 484 - 11 2층 ,031-264-3388,"소왕갈비, 돼지갈비",139.57,기흥구 보정동,2022-07-21
재지정,2016-07-19,2018-10-08,속초코다리찜,"경기도 용인시 기흥구 갈천로 84 (상갈동, 1층)",경기도 용인시 기흥구 상갈동 123 - 7 1층 ,031-282-0868,코다리찜,141.59,기흥구 상갈동,2022-07-21
재지정,2016-07-19,2018-04-19,장수랑갈비(주),"경기도 용인시 기흥구 흥덕4로15번길 1 (영덕동, 2층)",경기도 용인시 기흥구 영덕동 1111 - 1 2층 ,031-212-8893,"한우불고기전골, 갈비 등",471.48,기흥구 영덕동,2022-07-21
재지정,2016-07-19,2018-11-12,신포리 쭈꾸미,"경기도 용인시 기흥구 이현로29번길 54-20 (보정동, 1층)",경기도 용인시 기흥구 보정동 906 - 6 1층 ,031-897-3200,"쭈꾸미, 새우튀김",258.15,기흥구 보정동,2022-07-21
지정,2018-05-18,2018-05-18,유성본가 흥덕점,"경기도 용인시 기흥구 흥덕1로 13 (영덕동, COMPLEX동 B0105호일부, B0106,0106a,0107호)","경기도 용인시 기흥구 영덕동 1005 COMPLEX동 B0105호일부, B0106,0106a,0107호 ",031-340-3533,"누룽지삼계탕, 오리수육",252.64,기흥구 영덕동,2022-07-21
지정,2018-05-18,2018-05-18,오거리가든,"경기도 용인시 기흥구 중부대로 313 (신갈동, 2층)",경기도 용인시 기흥구 신갈동 455 - 8 2층 ,031-282-6210,"숯불구이, 갈비탕 등",376.15,기흥구 신갈동,2022-07-21
재지정,2004-06-30,2016-07-12,죽전(서울방향)휴게소 자율식당,경기도 용인시 수지구 경부고속도로 400 (죽전동),경기도 용인시 수지구 죽전동 866 - 2  ,031-262-3168,"버섯덮밥, 육개장",340.66,수지구 죽전1동,2022-07-21
재지정,2004-06-30,2016-07-12,남도아구와꽃게,경기도 용인시 수지구 문인로31번길 3-9 (풍덕천동),경기도 용인시 수지구 풍덕천동 669 - 5  ,031-262-4774,"아구찜,복지리,매운탕",81.48,수지구 풍덕천1동,2022-07-21
재지정,2009-11-30,2016-07-12,주식회사 청와정,경기도 용인시 수지구 수지로342번길 7 (풍덕천동),경기도 용인시 수지구 풍덕천동 658 - 25 C동 ,031-896-9876,국시,464,수지구 풍덕천1동,2022-07-21
재지정,2002-04-12,2016-07-12,산사랑,"경기도 용인시 수지구 샘말로89번길 9, 1동, 2동 (고기동)",경기도 용인시 수지구 고기동 372  ,031-263-6070,산나물한정식,490.94,수지구 동천동,2022-07-21
재지정,2009-11-30,2016-07-12,장수촌,경기도 용인시 수지구 성복2로 412 (성복동),경기도 용인시 수지구 성복동 641 - 1  ,031-266-1117,오리백숙,208.71,수지구 성복동,2022-07-21
재지정,2004-06-30,2016-07-12,춘향골남원추어탕,경기도 용인시 수지구 풍덕천로140번길 13 (풍덕천동),경기도 용인시 수지구 풍덕천동 723 - 1  ,031-266-7576,추어탕,162.22,수지구 풍덕천1동,2022-07-21
지정,2017-07-31,2017-07-31,정미소김치관,"경기도 용인시 수지구 신봉1로 302 (신봉동,1,2층)","경기도 용인시 수지구 신봉동 569 - 3 1,2층 ",031-261-0042,만두전골,199.3,수지구 신봉동,2022-07-21
재지정,2010-11-09,2016-07-12,윤씨네,"경기도 용인시 수지구 수지로342번길 7 (풍덕천동,외4(658-2,658-23,658-26,35-1))","경기도 용인시 수지구 풍덕천동 658 - 1 외4(658-2,658-23,658-26,35-1) ",031-262-3810,부대찌개,256.1,수지구 풍덕천1동,2022-07-21
지정,2017-07-31,2017-07-31,미젠,"경기도 용인시 수지구 신봉1로 330 (신봉동,(1층))",경기도 용인시 수지구 신봉동 637 - 2 (1층) ,031-276-7777,한정식,238.2,수지구 신봉동,2022-07-21
재지정,2009-11-30,2017-11-06,수원통큰숯불화로갈비,"경기도 용인시 수지구 수지로 77 (상현동,힐프라자 (102,103,104호))","경기도 용인시 수지구 상현동 106 - 8 힐프라자 (102,103,104호) ",031-262-2031,돼지갈비,187.2,수지구 상현1동,2022-07-21
지정,2018-05-18,2018-05-18,화경,"경기도 용인시 수지구 신봉2로 2, 센트럴500상가동 225호 (신봉동,외7)",경기도 용인시 수지구 신봉동 33 외7 센트럴500상가동 225호,031-266-2772,"짜장면, 탕수육 등",203.92,수지구 신봉동,2022-07-21
재지정,2004-12-30,2016-07-12,상현우렁쌈밥,"경기도 용인시 수지구 수지로 37 (상현동, 2층)",경기도 용인시 수지구 상현동 166 - 4 (2층) ,031-261-4838,쌈밥,228,수지구 상현1동,2022-07-21
재지정,2007-11-30,2016-07-12,배밭갈비,경기도 용인시 수지구 대지로 152 (죽전동),경기도 용인시 수지구 죽전동 1227  ,031-276-9292,갈비,259.66,수지구 죽전1동,2022-07-21
재지정,2009-11-30,2016-07-12,수지골남원추어탕,경기도 용인시 수지구 고기로 104 (동천동),경기도 용인시 수지구 동천동 119  ,031-261-1007,추어탕,73.08,수지구 동천동,2022-07-21
재지정,2012-07-17,2016-07-12,군산세꼬시,"경기도 용인시 수지구 성복2로 162, 성동마을엘지빌리지6차아파트 207호, 208호 (성복동)",경기도 용인시 수지구 성복동 731 성동마을엘지빌리지6차아파트 ,031-276-4994,세꼬시,92.27,수지구 성복동,2022-07-21
재지정,2008-11-28,2016-07-12,갈비예찬,"경기도 용인시 수지구 포은대로 531 (죽전동, 1,2층)","경기도 용인시 수지구 죽전동 1003 - 121 외1필지(1,2층) ",031-896-1333,갈비,637.13,수지구 죽전1동,2022-07-21
재지정,2010-11-09,2016-07-12,신선설농탕 수지점,"경기도 용인시 수지구 수지로 217 (신봉동,부광주차타워 106,107,108호)","경기도 용인시 수지구 신봉동 899 부광주차타워 106,107,108호 ",031-272-0041,설렁탕,142.82,수지구 신봉동,2022-07-21
지정,2018-05-18,2018-05-18,속초 코다리 냉면,"경기도 용인시 수지구 성복2로76번길 26-2 (성복동, 신봉V샤르망Ⅲ 109,110,111,112호)","경기도 용인시 수지구 성복동 748 신봉V샤르망Ⅲ 109,110,111,112호 ",031-264-9959,"코다리냉면, 물냉면 등",170.89,수지구 성복동,2022-07-21
재지정,2012-08-30,2016-08-02,그릴식스 수지점,"경기도 용인시 수지구 죽전로 232 (죽전동,스완파미에 103호)",경기도 용인시 수지구 죽전동 1350 스완파미에 103호 ,031-889-6757,"등심, 삼겹살",415.8,수지구 죽전1동,2022-07-21
재지정,2008-11-28,2016-07-12,양대화,"경기도 용인시 수지구 죽전로 232 (죽전동,스완파미에 (101,102호))","경기도 용인시 수지구 죽전동 1350 스완파미에 (101,102호) ",031-889-2233,양곱창구이,674.7,수지구 죽전1동,2022-07-21
재지정,2014-05-19,2016-07-12,천지연,경기도 용인시 수지구 현암로 96 (죽전동),경기도 용인시 수지구 죽전동 1206 - 2  ,031-898-3244,갈비,291.84,수지구 죽전1동,2022-07-21
재지정,2011-07-25,2016-07-12,봉평메밀싹막국수,경기도 용인시 수지구 용구대로 2757 (죽전동),경기도 용인시 수지구 죽전동 882 - 9  ,031-896-8888,메밀막국수,207.48,수지구 죽전1동,2022-07-21
지정,2017-07-31,2017-07-31,곽사부,"경기도 용인시 수지구 죽전로168번길 29 (죽전동, 1층)",경기도 용인시 수지구 죽전동 1336 - 6 1층 ,031-897-2323,자장면,172.9,수지구 죽전1동,2022-07-21
재지정,2010-11-09,2016-07-12,죽전골남원추어탕,"경기도 용인시 수지구 현암로 134 (죽전동, 상가동 101~104호)",경기도 용인시 수지구 죽전동 1194  ,031-898-4007,추어탕,162,수지구 죽전1동,2022-07-21
지정,2017-07-31,2017-07-31,우시륵,"경기도 용인시 수지구 신봉1로344번길 10, 1층 (신봉동)",경기도 용인시 수지구 신봉동 641  ,,갈비,140.97,수지구 신봉동,2022-07-21
재지정,2009-11-30,2018-10-26,서래한우갈비마을(주),"경기도 용인시 수지구 죽전로168번길 3 (죽전동,NPD 프라자 B101,101호)","경기도 용인시 수지구 죽전동 1345 - 4 NPD 프라자 B101,101호 ",031-889-8000,"서래갈비탕, 서래도가니탕 등",414.7,수지구 죽전1동,2022-07-21
재지정,2011-12-20,2016-07-12,무봉리토종순대국(죽전점),"경기도 용인시 수지구 대지로127번길 8 (죽전동,1층)",경기도 용인시 수지구 죽전동 1217 - 2 1층 ,031-889-7002,순대국,171.13,수지구 죽전1동,2022-07-21
지정,2017-07-31,2017-07-31,곤드레밥집,경기도 용인시 수지구 고기로 114 (동천동),경기도 용인시 수지구 동천동 115 - 11  ,031-264-3651,곤드레밥,354.2,수지구 동천동,2022-07-21
지정,2017-07-31,2017-07-31,고기리막국수 주식회사,경기도 용인시 수지구 이종무로 119 (고기동),경기도 용인시 수지구 고기동 439 - 1  ,031-263-1107,막국수,96.93,수지구 동천동,2022-07-21
재지정,2017-07-31,2018-10-26,심마니,"경기도 용인시 수지구 신봉1로 312, 2층 (신봉동)",경기도 용인시 수지구 신봉동 573 - 1  ,031-263-9001,고등어 구이 등,219.24,수지구 신봉동,2022-07-21
재지정,2013-08-23,2017-03-14,활어랑참치,"경기도 용인시 수지구 수지로342번길 7 (풍덕천동, C동 2층)",경기도 용인시 수지구 풍덕천동 658 - 25 C동 2층 ,031-896-9372,회정식,338.4,수지구 풍덕천1동,2022-07-21
지정,2016-08-02,2016-08-02,올리브,"경기도 용인시 수지구 풍덕천로 122 (풍덕천동, 하나로프라자 209,210호)","경기도 용인시 수지구 풍덕천동 1080 - 9 하나로프라자 209,210호 ",031-276-2273,파스타,85.68,수지구 풍덕천1동,2022-07-21
재지정,2016-08-02,2018-04-16,아구야,"경기도 용인시 수지구 신봉2로 94-17 (신봉동, 신봉택지개발지구 R2-2 지하1층)",경기도 용인시 수지구 신봉동 0 신봉택지개발지구 R2-2 지하1층 ,031-276-9888,"아구찜, 해물찜",165.63,수지구 신봉동,2022-07-21
재지정,2017-07-31,2018-04-16,흐르는 송어처럼,"경기도 용인시 수지구 고기로415번길 16-1 (고기동, 1,2층)","경기도 용인시 수지구 고기동 208 - 7 1,2층 ",031-262-3235,퓨전 한정식,606.63,수지구 동천동,2022-07-21
지정,2017-07-31,2017-07-31,원조양평해장국,"경기도 용인시 수지구 정든로6번길 11, 가동 1층 (죽전동)",경기도 용인시 수지구 죽전동 437 가동 1층 ,031-261-8688,해장국,178.05,수지구 죽전1동,2022-07-21
재지정,2014-12-03,2017-01-09,이화면옥,"경기도 용인시 수지구 신봉1로 336-1 (신봉동, 1층)",경기도 용인시 수지구 신봉동 640 - 1 1층 ,031-272-9933,"갈비찜, 냉면",257.52,수지구 신봉동,2022-07-21
지정,2017-07-31,2017-07-31,동해막국수,"경기도 용인시 수지구 호수로68번길 20-4 (고기동, 1층)",경기도 용인시 수지구 고기동 30 - 77 1층 ,031-276-4533,막국수,164.58,수지구 동천동,2022-07-21
지정,2017-07-31,2017-07-31,주막보리밥,"경기도 용인시 수지구 동천로 624 (고기동, 2층)",경기도 용인시 수지구 고기동 214 - 6 2층 ,031-265-0777,보리밥,180.8,수지구 동천동,2022-07-21
지정,2017-07-31,2017-07-31,오륙도,"경기도 용인시 수지구 광교중앙로296번길 6 (상현동, 광교어드밴스힐 103,104,105,106호)","경기도 용인시 수지구 상현동 1133 - 2 광교어드밴스힐 103,104,105,106호 ",031-211-8998,한정식,163.66,수지구 상현1동,2022-07-21
지정,2017-07-31,2017-07-31,뜰사랑3관,"경기도 용인시 수지구 이종무로 117-21 (고기동, A동 )",경기도 용인시 수지구 고기동 411 - 1 A동 ,,산채정식,203.88,수지구 동천동,2022-07-21
지정,2016-08-02,2016-08-02,남도한정식,"경기도 용인시 수지구 수지로342번길 7 (풍덕천동, C동 1층)",경기도 용인시 수지구 풍덕천동 658 - 25 C동 1층 ,,한정식,338.4,수지구 풍덕천1동,2022-07-21
지정,2017-07-31,2017-07-31,구팔한우 용인동천점,"경기도 용인시 수지구 신수로 767 (동천동, 분당수지 유타워 A동 232호)",경기도 용인시 수지구 동천동 899 분당수지 유타워 A동 232호 ,,돼지갈비,181.07,수지구 동천동,2022-07-21
지정,2018-05-18,2018-05-18,토속상황삼계탕,"경기도 용인시 수지구 신수로 767 (동천동, 분당수지유타워 A동 239호)",경기도 용인시 수지구 동천동 899 분당수지유타워 A동 239호 ,031-262-5284,"상황삼계탕, 닭갈비 등",242.74,수지구 동천동,2022-07-21
지정,2018-05-18,2018-05-18,김영희동태찜 광교점,"경기도 용인시 수지구 광교중앙로295번길 13, B동 204,205호 (상현동, 광교2차 푸르지오시티)",경기도 용인시 수지구 상현동 1116 - 3 광교2차 푸르지오시티 ,031-211-3177,"동태찜, 코다리찜 등",108.76,수지구 상현1동,2022-07-21
지정,2018-05-18,2018-05-18,연평도해물탕,"경기도 용인시 수지구 신봉1로 396, 1층 (신봉동)",경기도 용인시 수지구 신봉동 753 - 15  ,,"전복해물탕, 해물찜",397.84,수지구 신봉동,2022-07-21
