시군명,사업장명,소재지우편번호,소재지지번주소,소재지도로명주소,WGS84위도,WGS84경도
용인시,중앙환경㈜,17150,경기도 용인시 처인구 마평동 376번지,경기도 용인시 처인구 신송로131번길 29,37.23090876,127.2454248
용인시,㈜광신,17085,경기도 용인시 기흥구 공세동 308-22번지,경기도 용인시 기흥구 공세로 149,37.23724732,127.1070566
용인시,용인시도시공사,17152,경기도 용인시 처인구 마평동 704,경기도 용인시 처인구 경안천로 76,37.23780012,127.2132386
용인시,㈜고려환경,17036,경기도 용인시 처인구 모현읍 갈담리 275-1번지,경기도 용인시 처인구 모현읍 갈월로49번길 21,37.32450945,127.2487264
용인시,㈜한우리환경,16945,경기도 용인시 기흥구 신갈동 365-1번지,경기도 용인시 기흥구 신정로151번길 11-19,37.28384575,127.0997686
용인시,온누리㈜,17115,경기도 용인시 처인구 남사면 완장리 289번지,경기도 용인시 처인구 남사면 처인성로 957-4,37.17178289,127.1790175
용인시,㈜알엔알,17006,경기도 용인시 기흥구 중동 838번지 쥬네브문월드 가동 171호,경기도 용인시 기흥구 동백5로 22,37.27585425,127.1513536
용인시,㈜알엠용인,17015,경기도 용인시 기흥구 중동 1033번지 에이스동백타워 1동 1815호,경기도 용인시 기흥구 동백중앙로16번길 16-4,37.25641012,127.165045
용인시,용진실업㈜,17022,경기도 용인시 처인구 포곡읍 유운리 346-6,경기도 용인시 처인구 포곡읍 에버랜드로376번길 154,37.29740051,127.2196527
용인시,㈜광신그린,17085,경기도 용인시 기흥구 공세동 308-22,경기도 용인시 기흥구 공세로 149,37.23724732,127.1070566
용인시,㈜고려환경,17036,경기도 용인시 처인구 모현읍 갈담리 275-1,경기도 용인시 처인구 모현읍 갈월로49번길 21,37.32450945,127.2487264
용인시,동우케미칼㈜,17182,경기도 용인시 처인구 백암면 석천리 200-4,경기도 용인시 처인구 백암면 삼백로 367-21,37.10490393,127.3752271
용인시,용진환경,17006,경기도 용인시 기흥구 중동 850-2 6층,경기도 용인시 기흥구 동백3로11번길 21,37.27051933,127.1520196
용인시,㈜대신피엔에스,17006,경기도 용인시 기흥구 중동 832-5번지 동일하이빌오피스텔 707호,경기도 용인시 기흥구 동백5로 21-7,37.2769344,127.1522126
용인시,삼호환경기술㈜,17118,경기도 용인시 처인구 남사면 북리84-6,경기도 용인시 처인구 남사면 북리84-6,37.13734184,127.1552467
용인시,용문산업㈜,17171,경기도 용인시 처인구 백암면 가창리 299-5번지,경기도 용인시 처인구 백암면 가창로 29,37.19159035,127.3645023
용인시,미르이엔지㈜,17178,경기도 용인시 처인구 백암면 백암리 436-5,경기도 용인시 처인구 백암면 근창로 23,37.16389586,127.3721612
용인시,광명자원개발㈜,17023,경기도 용인시 처인구 포곡읍 전대리 171-6,경기도 용인시 처인구 포곡읍 부곡로 29-1,37.28018377,127.2186561
용인시,서룡환경㈜,17046,경기도 용인시 처인구 역북동 406-2,경기도 용인시 처인구 금학로 223,37.23868881,127.1882676
용인시,그린자원,17135,경기도 용인시 처인구 이동읍 화산리 664-1,경기도 용인시 처인구 이동읍 화산로 19,37.1453153,127.204124
용인시,(주)삼일공사,17128,경기도 용인시 처인구 이동읍 천리 506-15,경기도 용인시 처인구 이동읍 백옥대로 865,37.21321959,127.2082923
용인시,청정환경,17130,경기도 용인시 처인구 이동읍 덕성리 600-1,경기도 용인시 처인구 이동읍 백옥대로 488,37.18070039,127.2034633
용인시,하진환경,17168,경기도 용인시 처인구 원삼면 고당리 137-14,경기도 용인시 처인구 원삼면 원양로 133-15,37.17198095,127.3078402
용인시,케이씨환경산업㈜,17180,경기도 용인시 처인구 백암면 백봉리 599-2,경기도 용인시 처인구 백암면 죽양대로 829,37.14017669,127.3930252
용인시,㈜굿 맨,16833,경기도 용인시 수지구 풍덕천동 69-97,경기도 용인시 수지구 풍덕천로190번길 24,37.32439894,127.1019981
용인시,태진환경,17180,경기도 용인시 처인구 백암면 백봉리 956-1,경기도 용인시 처인구 백암면 죽양대로 870-10,37.14384018,127.3886656
용인시,㈜한비삼운,17136,경기도 용인시 처인구 이동읍 송전리 938-16,경기도 용인시 처인구 이동읍 경기동로 646,37.14172957,127.192938
용인시,중화환경,17088,경기도 용인시 기흥구 지곡동 442-4번지,경기도 용인시 기흥구 사은로 274-44,37.2513538,127.1375204
용인시,백마환경,17118,경기도 용인시 처인구 남사면 봉무리 451-5번지,경기도 용인시 처인구 남사면 봉무로 5,37.1147831,127.1524674
용인시,(주)근화산업,17178,경기도 용인시 처인구 백암면 백암리 375-4번지,경기도 용인시 처인구 백암면 백원로 553,37.16573171,127.3728907
용인시,연화그린텍㈜,16954,경기도 용인시 기흥구 영덕동 1005번지 흥덕아이티밸리 콤플렉스 1401호,경기도 용인시 기흥구 흥덕1로 13,37.27084866,127.066109
용인시,복지자원,17118,경기도 용인시 처인구 남사면 통삼리 661번지,경기도 용인시 처인구 남사면 서촌로 146,37.14308541,127.1289092
용인시,대건산업,17120,경기도 용인시 처인구 남사면 창리 753-4번지,경기도 용인시 처인구 남사면 처인성로 470,37.13039787,127.1664413
용인시,(주)에이치홀딩스,17168,경기도 용인시 처인구 원삼면 독성리 202번지,경기도 용인시 처인구 원삼면 보개원삼로 2007,37.16752967,127.3249248
용인시,제일자원,17067,경기도 용인시 기흥구 상갈동 121-2번지 신갈종합시장 314호,경기도 용인시 기흥구 상갈로23번길 8,37.26871139,127.1069646
용인시,다그린환경,17114,경기도 용인시 기흥구 농서동 267-3번지,경기도 용인시 기흥구 삼성2로42번길 2,37.22513312,127.0768314
용인시,㈜강남엔비코,16922,경기도 용인시 기흥구 신갈동 274번지,경기도 용인시 기흥구 용구대로2291번길 50,37.29159896,127.1052481
용인시,보라자원,17096,경기도 용인시 기흥구 상갈동 267-1번지,경기도 용인시 기흥구 하갈로 141,37.25962566,127.1003238
용인시,(주)인주환경,16968,경기도 용인시 기흥구 신갈동 33번지 희망아파트 203호,경기도 용인시 기흥구 신구로53번길 9,37.2766571,127.1084977
용인시,㈜동일물류산업,17127,경기도 용인시 처인구 이동읍 서리 427-2번지,경기도 용인시 처인구 이동읍 서리로101번길 32-5,37.19036494,127.1772699
용인시,피아이엔환경,16824,경기도 용인시 수지구 동천동 135-63번지,경기도 용인시 수지구 고기로67번길 55-7,37.34264561,127.089157
용인시,주식회사그린비즈,17086,경기도 용인시 기흥구 고매동 409-98번지,경기도 용인시 기흥구 기흥단지로 81-13,37.22779602,127.1064351
용인시,더좋은환경㈜,17103,경기도 용인시 기흥구 서천동 382번지,경기도 용인시 기흥구 서그내로62번길 40-2,37.2431589,127.0681371
용인시,토탈리사이클링,17086,경기도 용인시 기흥구 고매동 252-12번지,경기도 용인시 기흥구 원고매로 75-27,37.22185361,127.1115536
용인시,푸른빛환경,17067,경기도 용인시 기흥구 상갈동 121-2번지 신갈종합시장 313호,경기도 용인시 기흥구 상갈로23번길 8,37.26871139,127.1069646
용인시,에코프론티어 주식회사,17137,경기도 용인시 처인구 이동읍 송전리 290-5,경기도 용인시 처인구 이동읍 경기동로 806,37.13034215,127.2027902
용인시,그린자원환경,17123,경기도 용인시 처인구 남사면 방아리 919-2번지,경기도 용인시 처인구 남사면 어진로 571,37.1081175,127.1710173
용인시,유진산업개발,17123,경기도 용인시 처인구 이동읍 어비리 1280-8번지,경기도 용인시 처인구 이동읍 어진로 641,37.107791,127.1786892
용인시,미래철강(R.C),17088,경기도 용인시 기흥구 지곡동 535번지,경기도 용인시 기흥구 지삼로 76,37.25018254,127.1292677
용인시,도시환경,16970,경기도 용인시 기흥구 구갈동 408-1번지 신갈오피스텔 104호,경기도 용인시 기흥구 신구로22번길 7-18,37.27490733,127.1104684
용인시,㈜유용개발,17015,경기도 용인시 기흥구 중동 1033번지 에이스 동백 타워 1동 902호,경기도 용인시 기흥구 동백중앙로16번길 16-4,37.25641012,127.165045
용인시,대연더블유앤디,17128,경기도 용인시 처인구 이동읍 천리 235-13번지,경기도 용인시 처인구 이동읍 백자로 578,37.19405818,127.2061792
용인시,용진철강,16965,경기도 용인시 기흥구 신갈동 14-17번지 인터넷파크오피스텔 511호,경기도 용인시 기흥구 신갈로124번길 23-5,37.27812607,127.1081615
용인시,국일환경산업,16956,경기도 용인시 기흥구 영덕동 390-1번지,경기도 용인시 기흥구 영통로525번길 24,37.26585121,127.0761046
용인시,㈜유창트레이딩,17088,경기도 용인시 기흥구 지곡동 379-2외 1(376-7) 2층,경기도 용인시 기흥구 지삼로 141,37.24490845,127.1320991
용인시,㈜대동환경,17093,경기도 용인시 기흥구 신갈동 402-13번지,경기도 용인시 기흥구 신정로41번길 60,37.27926907,127.0991087
용인시,SJ개발,,경기도 용인시 처인구 남사면,경기도 용인시 기흥구 기흥단지로110번길 11-12 ,37.2248242,127.1110469
용인시,제일리사이클링,17031,경기도 용인시 처인구 모현읍 매산리 396-1번지,경기도 용인시 처인구 모현읍 이일로 112-14,37.33101488,127.2161724
용인시,용성환경,16897,경기도 용인시 기흥구 보정동 1197-2번지 801호내 H102호,경기도 용인시 기흥구 죽전로 17,37.32067912,127.1107141
용인시,㈜천덕환경,17124,경기도 용인시 처인구 남사면 진목리 131-1번지,경기도 용인시 처인구 남사면 천덕산로 337,37.10122945,127.1390204
용인시,신기산업,17128,경기도 용인시 처인구 이동읍 천리 1009-9번지,경기도 용인시 처인구 이동읍 백자로 461,37.19458202,127.1946247
용인시,미래환경자원,17136,경기도 용인시 처인구 이동읍 송전리 683-4,경기도 용인시 처인구 이동읍 경기동로687번길 1,37.13994836,127.1967378
용인시,협성,16972,경기도 용인시 기흥구 구갈동 354번지 라파빌딩 602호,경기도 용인시 기흥구 구갈로60번길 9-1,37.27996041,127.1123023
용인시,팔달건설기계,17137,경기도 용인시 처인구 이동읍 송전리 269-6번지,경기도 용인시 처인구 이동읍 경기동로 804,37.1305675,127.2027345
용인시,욱성산업,17108,경기도 용인시 기흥구 농서동 430번지 302호,경기도 용인시 기흥구 서천동로 94-1,37.23460563,127.0724683
용인시,푸른건설산업㈜,17118,경기도 용인시 처인구 남사면 봉무리 448-4번지 최가네갈비 101호,경기도 용인시 처인구 남사면 처인성로 220,37.11408936,127.1524098
용인시,㈜대주개발,17121,경기도 용인시 처인구 남사면 창리 390-2,경기도 용인시 처인구 남사면 경기동로518번길 20,37.13927968,127.1807091
용인시,정일산업㈜,17118,경기도 용인시 처인구 남사면 북리 11-2,경기도 용인시 처인구 남사면 형제로 83,37.1491203,127.1607747
용인시,㈜지솔알이에이치,17118,경기도 용인시 처인구 남사면 통삼리 619-12,경기도 용인시 처인구 남사면 경기동로 44,37.14661264,127.1334175
용인시,조광환경산업개발㈜,16983,경기도 용인시 기흥구 언남동 2-2,경기도 용인시 기흥구 언동로30번길 87,37.28245999,127.1351289
용인시,광일토건환경㈜,17130,경기도 용인시 처인구 이동읍 덕성리 445-2,경기도 용인시 처인구 이동읍 삼배울로 76,37.1780294,127.2109558
용인시,㈜백암바이오,17180,경기도 용인시 처인구 백암면 백봉리 639번지,경기도 용인시 처인구 백암면 죽양대로912번길 85,37.14509318,127.3967197
용인시,(주)엠케이티앤알,17179,경기도 용인시 처인구 백암면 박곡리 474-3번지,경기도 용인시 처인구 백암면 박곡로129번길 5,37.17411312,127.3892811
용인시,㈜피엠지코리아,17166,경기도 용인시 처인구 원삼면 맹리 684-3번지,경기도 용인시 처인구 원삼면 죽양대로1626번길 2-23,37.18327851,127.3351945
용인시,정일산업㈜,17118,경기도 용인시 처인구 남사면 북리 13번지,경기도 용인시 처인구 남사면 형제로 77,37.14772399,127.1605467
용인시,㈜리드비철금속,17085,경기도 용인시 기흥구 공세동 298-15번지,경기도 용인시 기흥구 공세로 141,37.23646305,127.1074725
용인시,?(주)덕양에코,17170,경기도 용인시 처인구 원삼면 죽능리 739-1번지,경기도 용인시 처인구 원삼면 어현로 86,37.13987305,127.2986511
용인시,에버켐코리아,17138,경기도 용인시 처인구 이동읍 묘봉리 722-8번지,경기도 용인시 처인구 이동읍 묘봉로 37,37.12417361,127.2162096
용인시,헨젤리사이클링코리아유한회사,17180,경기도 용인시 처인구 백암면 백봉리 599-6번지 나동 1층,경기도 용인시 처인구 백암면 죽양대로 817,37.13986831,127.3936426
용인시,㈜와이큐브자원산업,17118,경기도 용인시 처인구 남사면 북리 590-2번지 욕조공장 가동,경기도 용인시 처인구 남사면 경기동로 175-28,37.14486626,127.1475179
용인시,씨알씨( 구)리제이코리아),17135,경기도 용인시 처인구 이동읍 화산리 363-1번지,경기도 용인시 처인구 이동읍 화산로 139,37.14650872,127.2172403
용인시,준슈레더,17123,경기도 용인시 처인구 남사면 방아리 979-2번지,경기도 용인시 처인구 남사면 원암로 491,37.10309362,127.174516
용인시,대륭이엔씨,17118,경기도 용인시 처인구 남사면 통삼리 522-1번지,경기도 용인시 처인구 남사면 통삼로 378-12,37.13153723,127.1342131
용인시,태원산업,17166,경기도 용인시 처인구 원삼면 맹리 506-2번지,경기도 용인시 처인구 원삼면 맹리로 78,37.19603199,127.3338312
용인시,㈜대아환경,17115,경기도 용인시 처인구 남사면 완장리 36번지,경기도 용인시 처인구 남사면 처인성로 1012-38,37.17905305,127.1857908
용인시,파라폴리머,17118,경기도 용인시 처인구 남사면 봉명리 205-3번지,경기도 용인시 처인구 남사면 통삼로171번길 16,37.11698417,127.1268632
용인시,㈜유스토,17180,경기도 용인시 처인구 백암면 백봉리 599-6번지 나동 2층,경기도 용인시 처인구 백암면 죽양대로 817,37.13986831,127.3936426
용인시,삼마환경㈜,17126,경기도 용인시 처인구 이동읍 서리 5-1번지,경기도 용인시 처인구 이동읍 백자로 397,37.19541857,127.1898738
용인시,(합자)용인환경,17046,"경기도 용인시 처인구 역북동 434-50, 201호",경기도 용인시 처인구 금학로265번길 2,37.23785211,127.1931565
용인시,㈜합동,16885,경기도 용인시 처인구 모현읍 오산리 263-1(263-9),경기도 용인시 모현면 오산리 263-1,37.32989936,127.1499366
용인시,㈜서경알아이,16933,경기도 용인시 기흥구 보정동 1034-1번지,경기도 용인시 기흥구 신정로 283,37.29300973,127.0990811
용인시,삼보종합상사,17088,경기도 용인시 기흥구 지곡동 378-4번지,경기도 용인시 기흥구 지삼로 151,37.24424174,127.1320529
용인시,㈜미래자원,16946,,경기도 용인시 기흥구 신정로41번길 88,,
용인시,사단법인한국장애인아이티고용협회,17096,경기도 용인시 기흥구 하갈동 191-14번지,경기도 용인시 기흥구 하갈로86번길 22,37.25535555,127.0993827
용인시,㈜대흥철강,16945,경기도 용인시 기흥구 신갈동 568-1번지,경기도 용인시 기흥구 신정로237번길 46-12,37.29137464,127.093023
용인시,와이에스자원,17006,경기도 용인시 기흥구 중동 839번지 쥬네브문월드 나동 218호,경기도 용인시 기흥구 동백중앙로 245,37.27529604,127.1510142
용인시,㈜강남엔비코,16922,경기도 용인시 기흥구 신갈동 274번지,경기도 용인시 기흥구 용구대로2291번길 50,37.29159896,127.1052481
용인시,㈜대주개발,17121,경기도 용인시 처인구 남사면 창리 390-2,경기도 용인시 처인구 남사면 경기동로518번길 20,37.13927968,127.1807091
용인시,정일산업㈜,17118,경기도 용인시 처인구 남사면 북리 11-2,경기도 용인시 처인구 남사면 형제로 83,37.1491203,127.1607747
용인시,㈜지솔알이에이치,17118,경기도 용인시 처인구 남사면 통삼리 619-12,경기도 용인시 처인구 남사면 경기동로 44,37.14661264,127.1334175
용인시,㈜서원아스콘,17126,경기도 용인시 처인구 이동읍 서리 727,경기도 용인시 처인구 이동읍 백자로 77,37.21630462,127.1718767
용인시,㈜중천2공장,17130,경기도 용인시 처인구 이동읍 덕성리 564-5번지,경기도 용인시 처인구 이동읍 백옥대로489번길 47,37.18341737,127.2005763
용인시,(주)제일테크,17135,경기도 용인시 처인구 이동읍 화산리 501번지,경기도 용인시 처인구 이동읍 경기동로751번길 110,37.14081014,127.2093232
용인시,서진우드㈜,17127,경기도 용인시 처인구 이동읍 서리 437-3번지,경기도 용인시 처인구 이동읍 서리로101번길 37,37.18975137,127.1778541
용인시,(사)한국아이티복지 진흥원자원순환센터,17121,경기도 용인시 처인구 남사면 방아리 73-4번지,경기도 용인시 처인구 남사면 완장천로 16,37.12467525,127.1671267
용인시,도담,17115,경기도 용인시 처인구 남사면 완장리 528-6,경기도 용인시 처인구 남사면 완장리 528-6,,
용인시,㈜경일,17166,경기도 용인시 처인구 원삼면 맹리 267-15번지,경기도 용인시 처인구 원삼면 맹리로127번길 28-4,37.19972705,127.3367534
용인시,태형수지,17118,경기도 용인시 처인구 남사면 봉명리 583-8번지,경기도 용인시 처인구 남사면 천덕산로 100,37.11353266,127.1184193
용인시,기주산업㈜,17130,경기도 용인시 처인구 이동읍 덕성리 1078-1번지,경기도 용인시 처인구 이동읍 백옥대로489번길 19-16,37.18008506,127.1996555
용인시,금강환경,17115,경기도 용인시 처인구 남사면 완장리 528-6,경기도 용인시 처인구 남사면 완장리 528-6,,
용인시,산성자원환경,16945,경기도 용인시 기흥구 신갈동 544번지,경기도 용인시 기흥구 신정로237번길 33,37.28909455,127.0936631
용인시,록원자원,,,경기도 용인시 기흥구 언남로 30번길64,,
용인시,(사)한누리의류재활용협회,17115,경기도 용인시 처인구 남사면 완장리 41번지,경기도 용인시 처인구 남사면 처인성로 1012-40,37.1790001,127.18507
용인시,상록수산업,17088,경기도 용인시 기흥구 지곡동 379-2번지,경기도 용인시 기흥구 지삼로 141,37.24490845,127.1320991
용인시,대연환경,17135,경기도 용인시 처인구 이동읍 화산리 664-1번지,경기도 용인시 처인구 이동읍 화산로 19,37.1453153,127.204124
용인시,강남엔비코㈜,,,경기도 용인시 기흥구 용구대로 2219번길50,,
용인시,태성산업,17166,경기도 용인시 처인구 원삼면 맹리 384-2번지,경기도 용인시 처인구 원삼면 수정로6번길 31-1,37.19536322,127.340924
용인시,㈜에이치원리사이클링,17118,경기도 용인시 처인구 남사면 북리 22번지,경기도 용인시 처인구 남사면 형제로45번길 11,37.14587022,127.1587419
용인시,에스앤지엔터프라이즈,17166,경기도 용인시 처인구 원삼면 좌항리 316-38번지,경기도 용인시 처인구 원삼면 원양로 553-5,37.19808652,127.3172264
용인시,청맥산업주식회사,17126,경기도 용인시 처인구 이동읍 서리 748,경기도 용인시 처인구 이동면 서리 748,37.21777366,127.1716321
용인시,㈜대경오앤티용인2지점,17180,"경기도 용인시 처인구 백암면 고안리 168-5, 6","경기도 용인시 처인구 백암면 고안리 168-5, 6",37.12173124,127.4094375
용인시,㈜알케이유나이티드,16945,경기도 용인시 기흥구 신갈동 571번지,경기도 용인시 기흥구 신정로237번길 61,37.29104258,127.0912746
용인시,㈜법면녹화육운,17168,경기도 용인시 처인구 원삼면 독성리 204-5번지 21,경기도 용인시 처인구 원삼면 가재월로 23,37.16827911,127.3243425
용인시,청원영농조합법인,17180,경기도 용인시 처인구 백암면 고안리 1332번지,경기도 용인시 처인구 백암면 고안로32번길 110,37.12565344,127.3952799
용인시,동양비료㈜,17180,,경기도 용인시 처인구 백암면  고안로32번길 121,,
용인시,(주)동우바이오,17182,경기도 용인시 처인구 백암면 석천리 200-4번지,경기도 용인시 처인구 백암면 삼백로 367-21,37.10490393,127.3752271
용인시,대한산업,17137,경기도 용인시 처인구 이동읍 송전리 127번지,경기도 용인시 처인구 이동읍 경기동로785번길 50-25,37.13223424,127.2081295
용인시,삼호환경기술㈜,17118,경기도 용인시 처인구 남사면 북리 84-1번지,경기도 용인시 처인구 남사면 경기동로256번길 19,37.13789048,127.1560244
용인시,진성테크㈜,17127,경기도 용인시 처인구 이동읍 서리 117-8번지,경기도 용인시 처인구 이동읍 서리로101번길 53-29,37.1873065,127.1799094
용인시,태성환경,16972,경기도 용인시 기흥구 구갈동 354번지 라파빌딩 602호,경기도 용인시 기흥구 구갈로60번길 9-1,37.27996041,127.1123023
용인시,나라환경,17100,경기도 용인시 기흥구 공세동 382-1 호수청구아파트 상가동 103호,경기도 용인시 기흥구 공세로 226,37.24018789,127.1033529
용인시,산성자원환경,16882,경기도 용인시 수지구 죽전동 1355번지 광명샤인빌 상가동 102호,경기도 용인시 수지구 디지털벨리로 3,37.3277041,127.1317104
용인시,송림톱밥,17176,경기도 용인시 처인구 원삼면 두창리 1074-3,경기도 용인시 처인구 원삼면 두창호수로 1,37.15509342,127.3417578
용인시,ks환경,17118,경기도 용인시 처인구 남사면 봉명리 245-1,경기도 용인시 처인구 남사면 통삼로 209,37.11720572,127.1303628
용인시,신천자원,17174,경기도 용인시 처인구 백암면 가좌리 29,경기도 용인시 처인구 백암면 석실로34번길 92-7,37.18406361,127.3473941
용인시,㈜월드로지스,17074,경기도 용인시 기흥구 하갈동 143-4 세월빌딩 401호,경기도 용인시 기흥구 용구대로 1859,37.25409872,127.1046338
