,apt_parking_name,5_score,4_score,3_score,2_score,1_score,Total
0,갈현마을현대홈타운,15,5,0,5,0,105
1,"강남마을자연앤4,6단지",5,10,5,10,0,100
2,광교경남아너스빌,10,0,5,5,15,90
3,광교마을45단지,5,0,5,5,5,55
4,광교상떼빌파크뷰(구 상현마을성원상떼빌아파트),15,0,5,0,10,100
5,광교상록자이,5,0,5,5,5,55
6,광교쌍용포레듀엔 2단지,15,0,10,5,10,125
7,광교쌍용포레듀엔3단지,5,0,10,5,5,70
8,광교현대프레미오,10,5,0,10,5,95
9,광교휴먼시아41단지,5,0,0,5,0,35
10,광교힐스테이트,5,10,0,10,5,90
11,교동마을쌍용,5,0,0,0,10,35
12,교동마을정광,5,5,5,10,10,90
13,교동마을현대홈타운,5,5,10,5,0,85
14,구갈가현마을신안,5,0,0,5,0,35
15,구갈강남마을 계룡리슈빌,5,15,5,5,0,110
16,구성더포레스트,5,0,0,0,0,25
17,금평마을영화,5,0,0,5,0,35
18,금호베스트빌2단지,20,0,5,5,5,130
19,금호베스트빌3단지,15,0,0,5,5,90
20,금호베스트빌4단지,10,5,25,0,0,145
21,기흥파크뷰(새천년그린빌5단지),15,5,5,0,0,110
22,꽃메마을극동스타클래스,5,5,0,0,5,50
23,꽃메마을아이파크2차,10,5,0,0,5,75
24,꽃메마을한라프로방스,15,10,0,0,5,120
25,꽃메마을현대홈타운4차3단지,5,15,5,0,5,105
26,꽃메마을현대힐스테이트4차2단지,15,5,0,0,0,95
27,내대지마을주공5단지,5,0,0,5,0,35
28,대원칸타빌,5,0,10,0,0,55
29,대지마을2차현대홈타운,10,10,5,5,0,115
30,대지마을현대홈타운3차2단지,15,5,10,0,0,125
31,더리버하임,10,5,5,5,15,110
32,더샵수지포레,10,0,5,5,0,75
33,도담마을 한양수자인,10,10,5,15,0,135
34,도담마을뜨리에체,15,5,0,0,5,100
35,동문그린,10,0,0,0,5,55
36,동백동원로얄듀크,15,5,0,0,5,100
37,동백역 경남아너스빌,5,0,0,5,0,35
38,동부1차,5,5,0,20,5,90
39,동아솔레시티,5,0,10,15,10,95
40,동일하이빌2단지,10,5,0,10,10,100
41,동일하이빌2차,10,5,0,0,5,75
42,동일하이빌4단지,5,0,0,0,0,25
43,동천 파크 자이 아파트,5,5,0,0,5,50
44,동천동문5차굿모닝힐,5,5,0,15,0,75
45,동천동문6차굿모닝힐,5,10,0,15,0,95
46,동천마을동문3차,10,0,0,0,5,55
47,동천마을현대2차홈타운,10,10,5,10,0,125
48,동천자이아파트,5,0,5,5,5,55
49,래미안수지이스트파크,5,0,10,10,5,80
50,래미안이스트팰리스1단지,5,10,0,10,0,85
51,래미안이스트팰리스2단지,5,5,0,20,0,85
52,래미안이스트팰리스3단지,5,5,0,0,5,50
53,마북e편한세상,5,10,5,5,0,90
54,만현마을1단지롯데캐슬,5,0,5,10,5,65
55,만현마을2단지현대아이파크,10,5,10,5,0,110
56,만현마을3단지성원상떼빌,15,0,0,5,0,85
57,만현마을두산위브,5,10,10,0,0,95
58,만현마을쌍용1차,5,20,5,0,0,120
59,물푸레마을휴먼시아1단지,5,0,0,0,0,25
60,물푸레마을휴먼시아2단지,5,0,5,0,5,45
61,물푸레마을휴먼시아5단지,5,0,5,5,5,55
62,물푸레마을휴먼시아7단지,5,5,5,10,0,80
63,물푸레마을휴먼시아9단지,5,10,5,10,0,100
64,민속마을쌍용,10,10,10,5,0,130
65,민속마을현대모닝사이드,10,0,20,0,0,110
66,백현마을경남아너스빌,5,5,5,5,0,70
67,백현마을동일하이빌,5,5,0,5,10,65
68,백현마을상록롯데캐슬,10,0,15,5,0,105
69,백현마을코아루,10,0,5,5,15,90
70,버들치마을 경남아너스빌1차,10,10,0,0,5,95
71,버들치마을경남아너스빌2차,5,5,0,0,0,45
72,벽산,15,5,0,0,0,95
73,벽산첼시빌2,10,5,0,0,0,70
74,벽산타운1단지,20,5,5,5,0,145
75,벽산타운3단지,20,10,10,0,5,175
76,보뜨랑마을벽산블루밍,10,5,0,5,0,80
77,삼성래미안1차,5,5,20,10,0,125
78,삼환,15,10,0,0,0,115
79,상현마을동일스위트,10,0,5,5,5,80
80,상현엘지자이,10,10,10,0,5,125
81,상현현대성우2차,10,0,15,0,0,95
82,새천년그린빌주공1단지,5,10,5,5,0,90
83,새천년그린빌주공2단지,10,10,0,10,0,110
84,새터마을모아미래도,5,5,0,5,0,55
85,새터마을죽전힐스테이트,10,0,5,0,5,70
86,샘골마을신미주1단지,5,5,5,0,5,65
87,서원마을3단지아이파크,15,5,5,10,0,130
88,서홍마을현대효성,5,0,5,5,0,50
89,서홍한화꿈에그린,5,5,15,5,5,105
90,성동마을 엘지빌리지3차,15,5,0,10,5,120
91,성동마을엘지빌리지6차,10,10,0,5,0,100
92,성복센트럴자이아파트,10,25,0,0,0,150
93,성복역 아이파크,5,0,5,0,5,45
94,성복역리버파크,5,0,5,10,5,65
95,성복힐스테이트1차,5,10,0,5,0,75
96,성복힐스테이트3차,5,0,0,0,0,25
97,성산마을신영지웰,10,10,0,0,0,90
98,성원상떼레이크뷰,5,0,5,0,0,40
99,수원동마을쌍용아파트,5,5,0,5,0,55
100,수지2차삼성,10,10,10,10,5,145
101,수지LG빌리지1차,5,5,0,5,0,55
102,수지강남빌리지,10,5,0,5,10,90
103,수지금호베스트빌5단지,10,5,10,5,0,110
104,수지금호베스트빌TheEdu,15,0,20,0,0,135
105,수지벽산2단지,25,10,5,5,5,195
106,수지보원아파트,5,5,10,5,0,85
107,수지센트럴아이파크,10,10,5,5,0,115
108,수지자이아파트,10,20,0,0,0,130
109,수지진흥아파트,5,0,0,0,10,35
110,수지태영데시앙1차,5,10,0,15,5,100
111,수지푸르지오월드마크,5,5,5,5,5,75
112,수지한국,10,5,5,0,15,100
113,수지한신,10,5,5,5,15,110
114,수진마을2단지,5,10,5,5,0,90
115,수진마을써니벨리,10,0,0,5,0,60
116,수진마을우미이노스빌,5,0,0,5,5,40
117,스위트홈아파트,15,10,0,0,5,120
118,신갈삼익,10,5,5,10,10,115
119,신갈신미주,10,5,5,10,10,115
120,신동백서해그랑블2차,10,0,0,5,0,60
121,신동백아이파크,5,0,0,5,5,40
122,신명스카이뷰,5,10,10,5,0,105
123,신봉동 동도센트리움,10,0,0,5,10,70
124,신봉센트레빌1단지,5,10,5,5,0,90
125,신우,10,5,0,0,0,70
126,신일유토빌,5,5,0,0,0,45
127,신정마을6단지상록,5,0,0,0,20,45
128,신정마을성지,5,5,5,5,0,70
129,신정마을우성,5,0,0,5,10,45
130,신정마을주공1단지아파트,10,5,0,0,20,90
131,신정마을현대프라임,5,0,5,5,10,60
132,신촌마을상록데시앙,5,5,5,10,5,85
133,양지마을신원아침도시,10,0,0,0,0,50
134,양현마을신안풍림,15,0,5,5,5,105
135,어은목마을한라비발디3단지,5,0,5,0,0,40
136,어정마을서희삼정,5,5,0,5,5,60
137,엘지빌리지2차,15,5,5,0,10,120
138,엘지빌리지5차A단지,5,0,5,0,0,40
139,엘지빌리지5차B단지,5,0,5,0,0,40
140,엘지신봉자이2차,5,10,10,5,0,105
141,엘지자이1차,10,5,5,5,5,100
142,역북마을금강,5,5,0,0,5,50
143,역북마을보성,10,10,0,0,5,95
144,역북마을신성,10,0,5,0,5,70
145,연원마을벽산아파트,5,0,20,5,5,100
146,연원마을성원아파트,5,0,10,0,10,65
147,연원마을현대,5,5,5,0,5,65
148,영덕신일,10,0,10,0,0,80
149,예원마을코아루,5,0,0,5,0,35
150,예진마을3차,5,5,5,0,0,60
151,용인기흥 효성해링턴플레이스아파트,5,0,5,0,5,45
152,용인김량장주공2단지,10,10,0,0,5,95
153,용인삼가풍림,20,5,5,0,0,135
154,용인성웅,5,5,0,0,0,45
155,용인수지동도센트리움 아파트,10,10,5,5,5,120
156,용인신갈푸르지오,5,0,0,0,0,25
157,용인에스원스마트빌,5,0,0,0,0,25
158,용인인정프린스2차,5,5,0,5,10,65
159,우남퍼스트빌,5,5,0,0,5,50
160,우미이노스빌1차,5,5,5,15,0,90
161,원대마을한신아파트,5,15,0,10,15,120
162,원천마을푸르지오,10,0,5,0,0,65
163,유메이드,15,15,0,0,10,145
164,이삭베스트,5,0,5,0,10,50
165,인성마을현대,5,0,0,0,0,25
166,인정멜로디,5,0,5,0,5,45
167,인정프린스3차,5,5,0,5,10,65
168,인정피렌체빌리지1차,5,0,15,5,0,80
169,임원마을영화1차,5,0,5,0,10,50
170,죽전7차현대홈타운1단지,5,15,5,0,5,105
171,죽전7차현대홈타운2단지,10,10,10,0,5,125
172,죽전동성1차,15,20,0,5,0,165
173,죽전아이뷰,5,15,0,0,10,95
174,죽전주공8단지,10,0,0,0,5,55
175,죽전퍼스트하임,5,15,5,0,5,105
176,죽현마을아이파크1차,15,0,0,5,0,85
177,지석마을그대가크레던스,5,20,0,0,5,110
178,지석마을진흥더루벤스2차,10,10,5,0,5,110
179,진산마을성원상떼빌아파트,5,10,10,5,5,110
180,진흥더블파크,5,0,0,5,0,35
181,창죽벽산첼시빌,5,5,0,5,0,55
182,청덕마을광도와이드빌,5,5,0,5,0,55
183,청현마을 두진,10,0,10,0,0,80
184,초당마을삼부르네상스아파트,5,5,0,0,0,45
185,초록마을 풍림아파트,5,5,0,0,5,50
186,초원마을성원상떼빌,5,0,0,5,0,35
187,초입마을삼익풍림동아,5,0,10,5,0,65
188,태영데시앙2차,10,5,5,5,5,100
189,파크시엘아파트,5,5,5,5,5,75
190,포레나광교상현,5,0,0,5,10,45
191,푸른마을 용인 자이 아파트,5,0,5,0,0,40
192,푸른마을푸르지오,5,0,0,0,10,35
193,풍림2차,10,5,5,5,0,95
194,풍산햇빛마을,5,5,5,0,5,65
195,하마비마을동부센트레빌,5,5,5,5,15,85
196,해든마을동문굿모닝힐,10,0,0,0,5,55
197,행림마을진로,10,0,5,0,0,65
198,행정타운늘푸른오스카빌,5,5,5,15,5,95
199,현대성우5차,10,0,0,10,0,70
200,현대홈타운4차1단지,5,5,5,10,5,85
201,현암마을동성2차,10,5,0,5,15,95
202,호반베르디움,5,10,0,0,0,65
203,호수마을상록롯데캐슬,5,5,0,0,10,55
204,호수마을서해그랑블,10,0,0,5,5,65
205,호수마을주공3단지,5,5,5,0,0,60
206,휴먼시아흥덕마을1단지,5,5,10,5,0,85
207,흥덕마을3단지,5,10,0,0,0,65
208,흥덕우남퍼스트빌리젠트,5,0,0,0,0,25
209,e편한세상 수지아파트,0,10,0,15,0,70
210,강남마을9단지한라비발디,0,5,0,5,0,30
211,공세대주피오레2단지,0,5,0,0,5,25
212,광교산자이아파트,0,10,5,0,0,55
213,광교상현마을 현대아파트,0,5,5,5,0,45
214,광교상현솔하임,0,5,5,5,0,45
215,교동마을LG자이,0,5,5,0,5,40
216,교동마을신창아파트,0,5,0,0,0,20
217,구갈세종그랑시아 2단지,0,5,10,0,15,65
218,구갈우림,0,5,5,10,25,80
219,구갈한성1차,0,5,5,0,5,40
220,구갈한성2차,0,10,5,5,5,70
221,구성신일해피트리,0,5,5,0,0,35
222,금전마을리슈빌아파트,0,5,10,0,5,55
223,금호어울림아파트,0,10,0,5,5,55
224,금화마을주공3단지,0,10,5,5,0,65
225,금화마을주공4단지,0,5,0,0,0,20
226,금화마을주공6단지,0,5,5,0,5,40
227,기흥더샵프라임뷰,0,5,0,10,5,45
228,기흥동부아파트,0,10,10,0,0,70
229,기흥삼정,0,15,5,0,0,75
230,기흥역 더샵 아파트,0,10,0,5,10,60
231,기흥역 롯데캐슬레이시티,0,10,0,5,10,60
232,기흥역지웰푸르지오(주상복합),0,10,0,5,10,60
233,기흥역파크푸르지오아파트,0,10,0,5,10,60
234,김량장동현대아파트,0,5,0,5,5,35
235,꽃메마을현대홈타운4-4,0,10,5,0,0,55
236,도담마을9단지죽전파크빌,0,5,10,0,10,60
237,도현마을현대,0,5,0,0,0,20
238,동보1차,0,5,10,15,5,85
239,동부센트레빌5단지,0,5,0,0,0,20
240,동원로얄듀크,0,5,0,0,5,25
241,동천마을현대1차홈타운,0,5,0,5,0,30
242,드림랜드,0,10,0,0,10,50
243,래미안이스트팰리스4단지,0,5,0,0,5,25
244,만현마을5단지현대,0,10,5,5,0,65
245,만현마을쌍용3차,0,15,5,5,0,85
246,백현마을모아미래도2단지,0,5,0,5,5,35
247,백현마을서해그랑블,0,5,5,15,5,70
248,백현마을주공9단지,0,5,5,0,0,35
249,백현마을한라비발디1단지,0,5,0,5,10,40
250,벽산블루밍,0,5,5,5,0,45
251,삼성1차,0,5,10,0,0,50
252,상현마을현대성우1차,0,5,0,10,5,45
253,상현현대성우3차,0,5,0,10,5,45
254,새천년그린빌주공3단지,0,5,10,10,0,70
255,서그내마을SK,0,10,0,0,15,55
256,서원마을현대홈타운,0,5,5,10,0,55
257,서천마을2단지,0,5,0,0,5,25
258,서천마을휴먼시아3단지,0,5,5,5,5,50
259,서홍마을벽산블루밍,0,5,15,5,5,80
260,성복아이파크,0,5,15,5,0,75
261,성복역 KCC스위첸,0,5,15,5,0,75
262,성복역 롯데캐슬 골드타운,0,5,10,5,0,60
263,성복역 롯데캐슬 클라시엘 아파트,0,5,15,5,0,75
264,성복역 롯데캐슬파크나인아파트,0,5,15,5,0,75
265,성복역서희스타힐스,0,5,15,5,0,75
266,성복자이1차,0,5,10,5,0,60
267,성복자이2차,0,5,10,5,0,60
268,센트럴파크원,0,5,5,5,5,50
269,수지 성복 효성해링턴코트,0,5,15,5,0,75
270,수지동문,0,5,5,10,0,55
271,수지에듀파크,0,10,0,0,5,45
272,수지파크푸르지오,0,10,5,10,5,80
273,수지한성,0,10,5,0,10,65
274,수지현대아파트,0,10,10,10,10,100
275,신원2차,0,5,10,0,5,55
276,신정마을7단지 상록아파트,0,5,10,5,5,65
277,신정마을극동임광,0,10,10,5,0,80
278,언남동부,0,5,5,0,15,50
279,에이스카운티아파트,0,5,5,0,5,40
280,역북지웰 푸르지오,0,5,0,0,5,25
281,연원마을삼성명가타운,0,5,0,5,10,40
282,연원마을삼성쉐르빌아파트,0,5,0,5,0,30
283,영통로 효성해링턴 플레이스 아파트,0,15,0,0,15,75
284,예현마을현대홈타운,0,5,0,0,0,20
285,용인구갈8,0,5,10,0,5,55
286,용인대우,0,5,0,5,0,30
287,용인보라해링턴플레이스아파트,0,15,0,0,0,60
288,용인삼환나우빌아파트,0,5,0,10,5,45
289,용인서천효성해링턴플레이스,0,5,0,5,5,35
290,용인역북골드클래스아파트,0,5,0,0,5,25
291,용인흥덕아델리움8단지,0,10,0,5,5,55
292,웰스톤시티,0,10,5,0,0,55
293,이스턴팰리스아파트,0,10,0,0,5,45
294,자봉마을써니밸리,0,5,0,0,5,25
295,죽전건영캐스빌,0,5,5,0,0,35
296,죽전누리에뜰,0,5,15,5,5,80
297,죽전역솔하임,0,5,10,0,10,60
298,죽전자이2차,0,10,5,0,0,55
299,죽전중앙하이츠,0,5,0,5,0,30
300,죽전현대1차,0,5,5,5,0,45
301,진산마을삼성5차아파트,0,5,0,20,10,70
302,진우,0,5,5,15,10,75
303,"청명호수마을신안인스빌1,2단지",0,5,0,0,5,25
304,초당마을 삼부르네상스,0,5,0,5,0,30
305,풍덕천동 한샘 더랜드마크,0,5,5,5,0,45
306,풍림고층,0,5,5,10,20,75
307,풍산,0,5,5,5,0,45
308,한보라 더힐,0,5,0,0,5,25
309,한보라 에듀포레,0,5,5,0,0,35
310,한보라마을 경남아너스빌,0,5,0,0,10,30
311,한보라마을휴먼시아4단지,0,5,10,0,0,50
312,한일유엔아이,0,5,15,10,5,90
313,현대성우,0,5,10,10,5,75
314,호수마을계룡리슈빌,0,5,0,5,5,35
315,호수마을동보노빌리티,0,5,0,5,5,35
316,호수마을월드메르디앙,0,10,5,5,0,65
317,호수마을자연앤데시앙,0,5,5,5,0,45
318,화성파크드림아파트,0,10,5,0,0,55
319,휴먼시아5단지,0,10,0,0,0,40
320,흥덕11단지경남아너스빌,0,5,5,0,0,35
321,흥덕마을12단지,0,5,0,5,5,35
322,흥덕마을13단지경남아너스빌,0,5,0,5,10,40
323,흥덕마을주공4단지,0,10,0,5,5,55
324,흥덕우미린레이크포레,0,10,0,5,5,55
325,힐스테이트 광교산,0,10,5,0,0,55
326,힐스테이트기흥,0,10,0,5,10,60
327,광교레이크스위첸,0,0,5,5,0,25
328,광교쌍용포레듀엔1단지,0,0,10,0,5,35
329,교동마을동양파라곤,0,0,5,10,5,40
330,교동마을현대,0,0,5,0,0,15
331,금화마을대우현대,0,0,10,5,0,40
332,금화마을주공5단지,0,0,10,10,0,50
333,기흥동성,0,0,5,0,0,15
334,기흥써니밸리,0,0,5,0,0,15
335,꽃메마을한라신영프로방스,0,0,5,0,0,15
336,더샵동천이스트포레아파트,0,0,5,5,5,30
337,도담마을롯데캐슬,0,0,10,5,10,50
338,도담마을아이파크,0,0,5,10,5,40
339,도담마을휴먼빌아파트,0,0,5,10,5,40
340,동아,0,0,5,0,0,15
341,동일하이빌1차,0,0,5,0,0,15
342,마평라이프,0,0,5,5,5,30
343,마평우성,0,0,15,5,5,60
344,매화마을 우남 퍼스트빌,0,0,5,0,0,15
345,모현KCC스위첸,0,0,5,0,0,15
346,민속마을 신창미션힐,0,0,20,5,0,70
347,백현마을모아미래도1단지,0,0,5,0,5,20
348,백현마을한라비발디2단지,0,0,5,5,5,30
349,버들치마을힐스테이트2차,0,0,10,5,0,40
350,보라마을현대모닝사이드2차,0,0,5,10,10,45
351,보정한화꿈에그린,0,0,10,0,0,30
352,불곡마을벽산블루밍,0,0,5,0,0,15
353,삼성래미안,0,0,5,10,10,45
354,새릉골풍림,0,0,5,5,0,25
355,솔뫼마을현대홈타운,0,0,5,5,0,25
356,수원동마을쌍용스윗닷홈2단지,0,0,15,0,5,50
357,수지 진산마을 푸르지오,0,0,5,10,5,40
358,수지4차삼성,0,0,15,10,5,70
359,수지건영,0,0,10,15,5,65
360,신원1차,0,0,10,0,5,35
361,신정마을9단지,0,0,15,0,10,55
362,신촌마을포스홈타운1단지,0,0,5,10,5,40
363,신촌마을포스홈타운2단지,0,0,5,5,0,25
364,신흥덕 롯데캐슬레이시티,0,0,5,0,0,15
365,역북1단지 우남퍼스트빌 아파트,0,0,10,5,0,40
366,역북2단지 우남퍼스트빌아파트,0,0,10,5,0,40
367,역북신원아침도시아파트,0,0,10,5,0,40
368,연원마을엘지,0,0,10,5,0,40
369,예진마을2차,0,0,15,0,0,45
370,용인 명지대역 동원로얄듀크아파트,0,0,15,5,5,60
371,용인마평,0,0,10,5,5,45
372,용인마평두보,0,0,10,0,5,35
373,용인세원,0,0,5,0,0,15
374,용인죽전동부센트레빌,0,0,15,15,5,80
375,우미 린 센트럴파크 관리사무소,0,0,15,5,5,60
376,이안 두드림기흥역,0,0,5,5,0,25
377,인정프린스4차,0,0,20,0,5,65
378,장미마을 삼성래미안2차,0,0,5,5,5,30
379,지석마을진흥더루벤스1단지,0,0,10,5,5,45
380,진산마을삼성래미안6차,0,0,5,5,0,25
381,진산마을삼성래미안7차,0,0,5,10,5,40
382,참솔마을월드메르디앙,0,0,5,0,10,25
383,초당마을주공3단지,0,0,5,5,0,25
384,한천마을금광베네스타,0,0,5,0,0,15
385,현인마을대림이편한세상3차,0,0,5,5,0,25
386,호반써밋 레이크파크,0,0,5,0,0,15
387,호수청구,0,0,5,0,10,25
388,효천마을신안인스빌,0,0,10,0,0,30
389,강남마을코오롱하늘채,0,0,0,10,10,30
390,구성휴먼시아물푸레마을휴먼시아3단지,0,0,0,10,0,20
391,기흥역센트럴푸르지오,0,0,0,5,10,20
392,대명레이크빌,0,0,0,5,10,20
393,동백하우스디카바나,0,0,0,10,0,20
394,동일하이빌3단지,0,0,0,5,5,15
395,마북우림,0,0,0,5,0,10
396,물푸레마을경남아너스빌,0,0,0,5,0,10
397,백현마을주공7단지,0,0,0,5,5,15
398,보평마을 삼정그린뷰 아파트,0,0,0,10,0,20
399,서천2차아이파크아파트,0,0,0,5,0,10
400,성산마을서해그랑블,0,0,0,10,5,25
401,성현마을반도유보라,0,0,0,5,0,10
402,성현마을우미2차,0,0,0,5,0,10
403,성현마을죽전주공3단지,0,0,0,5,0,10
404,송전마을세광리치타워,0,0,0,5,0,10
405,신동백롯데캐슬에코1단지,0,0,0,10,0,20
406,신동백롯데캐슬에코2단지,0,0,0,10,0,20
407,신동백서해그랑블1차,0,0,0,10,0,20
408,신봉동부센트레빌6단지아파트,0,0,0,5,0,10
409,어은목마을 벽산블루밍,0,0,0,5,0,10
410,영통빌리지,0,0,0,5,0,10
411,용인동백두산위브더제니스,0,0,0,10,0,20
412,용인행정타운두산위브1단지,0,0,0,15,5,35
413,용인행정타운두산위브2단지,0,0,0,10,0,20
414,용인행정타운두산위브3단지,0,0,0,15,5,35
415,용화마을태영데시앙,0,0,0,5,0,10
416,인정프린스1차,0,0,0,5,10,20
417,죽현마을LG자이,0,0,0,5,5,15
418,청현마을기흥데시앙,0,0,0,5,10,20
419,초당마을현진에버빌,0,0,0,5,0,10
420,한보라마을휴먼시아7단지,0,0,0,5,15,25
421,현인마을대림이편한세상2차,0,0,0,5,0,10
422,화성파크드림프라브,0,0,0,5,10,20
423,흥덕마을14단지 호반베르디움,0,0,0,5,10,20
424,흥덕마을7단지힐스테이트,0,0,0,10,0,20
425,힐스테이트 구성 아파트,0,0,0,5,0,10
426,e편한세상 용인한숲시티 2단지,0,0,0,0,5,5
427,e편한세상 용인한숲시티 5단지,0,0,0,0,5,5
428,e편한세상 용인한숲시티6단지,0,0,0,0,5,5
429,e편한세상용인한숲시티4단지,0,0,0,0,5,5
430,광교산한양수자인더킨포크,0,0,0,0,5,5
431,구갈한양,0,0,0,0,10,10
432,삼익리베리움,0,0,0,0,5,5
433,샘골마을신미주2단지,0,0,0,0,5,5
434,서그내마을서천아이파크,0,0,0,0,10,10
435,성현마을광명샤인빌,0,0,0,0,5,5
436,신봉마을자이3차,0,0,0,0,5,5
437,용인 구성역 효성해링턴플레이스,0,0,0,0,5,5
438,우림홀인원,0,0,0,0,5,5
439,이편한세상 용인한숲시티 3단지,0,0,0,0,5,5
